:TYPE,:START_ID,:END_ID,actions:string,known_action:string
EBEL_DRUGBANK_RELATION,26021,40482,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,17621,33542,antagonist,unknown
EBEL_DRUGBANK_RELATION,22718,35883,antagonist,unknown
EBEL_DRUGBANK_RELATION,25907,38197,inhibitor,unknown
EBEL_DRUGBANK_RELATION,12510,20871,agonist,yes
EBEL_DRUGBANK_RELATION,17518,32696,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22665,43675,inhibitor,yes
EBEL_DRUGBANK_RELATION,25804,42899,antagonist,yes
EBEL_DRUGBANK_RELATION,26118,33686,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22445,36474,agonist,yes
EBEL_DRUGBANK_RELATION,26163,43401,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22823,16582,inhibitor,unknown
EBEL_DRUGBANK_RELATION,26022,16516,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17851,32463,inhibitor,yes
EBEL_DRUGBANK_RELATION,22561,37273,inhibitor,yes
EBEL_DRUGBANK_RELATION,25853,38430,inhibitor,yes
EBEL_DRUGBANK_RELATION,17967,25132,inhibitor,yes
EBEL_DRUGBANK_RELATION,22776,3497,antagonist,yes
EBEL_DRUGBANK_RELATION,25806,41754,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17474,34974,antagonist,yes
EBEL_DRUGBANK_RELATION,17852,36745,agonist,yes
EBEL_DRUGBANK_RELATION,25913,30585,activator,unknown
EBEL_DRUGBANK_RELATION,25704,36474,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,17628,3760,antagonist,yes
EBEL_DRUGBANK_RELATION,22451,37803,antagonist,no
EBEL_DRUGBANK_RELATION,22508,44461,inhibitor,yes
EBEL_DRUGBANK_RELATION,22780,11438,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22874,43911,inhibitor,yes
EBEL_DRUGBANK_RELATION,17856,43401,inhibitor,yes
EBEL_DRUGBANK_RELATION,22781,38176,negative modulator,yes
EBEL_DRUGBANK_RELATION,25969,33462,antagonist,unknown
EBEL_DRUGBANK_RELATION,26123,34975,inhibitor,yes
EBEL_DRUGBANK_RELATION,12519,40789,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,17524,38837,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22511,36122,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17858,29480,agonist,yes
EBEL_DRUGBANK_RELATION,22512,3566,inhibitor,yes
EBEL_DRUGBANK_RELATION,22672,36971,inhibitor,yes
EBEL_DRUGBANK_RELATION,25973,35634,antagonist,yes
EBEL_DRUGBANK_RELATION,17580,38523,antagonist,yes
EBEL_DRUGBANK_RELATION,17862,25132,activator,yes
EBEL_DRUGBANK_RELATION,25921,41505,agonist,yes
EBEL_DRUGBANK_RELATION,17529,43228,agonist,yes
EBEL_DRUGBANK_RELATION,25819,42076,antagonist,unknown
EBEL_DRUGBANK_RELATION,17531,32598,inhibitor,yes
EBEL_DRUGBANK_RELATION,22405,16661,inhibitor,yes
EBEL_DRUGBANK_RELATION,22734,43810,inhibitor,no
EBEL_DRUGBANK_RELATION,12524,38701,agonist,unknown
EBEL_DRUGBANK_RELATION,17583,43043,inhibitor,yes
EBEL_DRUGBANK_RELATION,22735,3572,antagonist,unknown
EBEL_DRUGBANK_RELATION,26180,37115,agonist,yes
EBEL_DRUGBANK_RELATION,25715,41505,antagonist,yes
EBEL_DRUGBANK_RELATION,25926,11077,agonist,unknown
EBEL_DRUGBANK_RELATION,17698,38430,inhibitor,yes
EBEL_DRUGBANK_RELATION,22625,38701,agonist,yes
EBEL_DRUGBANK_RELATION,17753,3760,antagonist,yes
EBEL_DRUGBANK_RELATION,26184,36830,inhibitor,yes
EBEL_DRUGBANK_RELATION,22465,42209,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22839,40184,inhibitor,yes
EBEL_DRUGBANK_RELATION,25982,34402,antagonist,yes
EBEL_DRUGBANK_RELATION,17755,40846,agonist,unknown
EBEL_DRUGBANK_RELATION,22573,38176,inhibitor,yes
EBEL_DRUGBANK_RELATION,22683,34974,agonist,yes
EBEL_DRUGBANK_RELATION,25983,20871,agonist,yes
EBEL_DRUGBANK_RELATION,17587,39893,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22527,34974,inverse agonist,yes
EBEL_DRUGBANK_RELATION,25718,39973,antagonist,unknown
EBEL_DRUGBANK_RELATION,22411,42978,antagonist,yes
EBEL_DRUGBANK_RELATION,22741,36403,inhibitor,yes
EBEL_DRUGBANK_RELATION,25871,38430,inhibitor,yes
EBEL_DRUGBANK_RELATION,22575,43228,antagonist,unknown
EBEL_DRUGBANK_RELATION,17538,40789,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22743,43138,inhibitor,yes
EBEL_DRUGBANK_RELATION,25988,16582,inhibitor,yes
EBEL_DRUGBANK_RELATION,17871,36971,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22471,39398,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22414,7701,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22796,42042,inhibitor,yes
EBEL_DRUGBANK_RELATION,17492,43168,agonist,yes
EBEL_DRUGBANK_RELATION,22633,34974,antagonist,yes
EBEL_DRUGBANK_RELATION,22745,36474,antagonist,unknown
EBEL_DRUGBANK_RELATION,25989,8065,inhibitor,yes
EBEL_DRUGBANK_RELATION,17540,44207,agonist,unknown
EBEL_DRUGBANK_RELATION,17928,36132,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,17591,36871,inhibitor,unknown
EBEL_DRUGBANK_RELATION,26087,44114,antagonist,unknown
EBEL_DRUGBANK_RELATION,22533,44461,inhibitor,yes
EBEL_DRUGBANK_RELATION,25775,7908,antagonist,unknown
EBEL_DRUGBANK_RELATION,17874,7908,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22846,25323,antagonist,yes
EBEL_DRUGBANK_RELATION,25669,29043,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,25827,36745,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,17817,34974,agonist,unknown
EBEL_DRUGBANK_RELATION,22534,25547,inhibitor,yes
EBEL_DRUGBANK_RELATION,17877,41993,agonist,yes
EBEL_DRUGBANK_RELATION,25671,42132,inhibitor,unknown
EBEL_DRUGBANK_RELATION,12535,36474,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,17998,35874,antagonist,yes
EBEL_DRUGBANK_RELATION,22891,11267,antagonist,yes
EBEL_DRUGBANK_RELATION,25879,36122,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17935,39273,inhibitor,yes
EBEL_DRUGBANK_RELATION,22801,40366,inhibitor,unknown
EBEL_DRUGBANK_RELATION,25725,42720,inhibitor,unknown
EBEL_DRUGBANK_RELATION,26193,21054,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,17597,43404,antagonist,yes
EBEL_DRUGBANK_RELATION,17881,25527,inducer,unknown
EBEL_DRUGBANK_RELATION,17712,40776,inhibitor,yes
EBEL_DRUGBANK_RELATION,25726,11103,agonist,yes
EBEL_DRUGBANK_RELATION,25996,36416,agonist,yes
EBEL_DRUGBANK_RELATION,22803,42978,agonist,yes
EBEL_DRUGBANK_RELATION,26095,41257,agonist,yes
EBEL_DRUGBANK_RELATION,17768,30883,inhibitor,yes
EBEL_DRUGBANK_RELATION,25728,43315,partial agonist,yes
EBEL_DRUGBANK_RELATION,25943,38498,agonist,yes
EBEL_DRUGBANK_RELATION,22697,37584,agonist,unknown
EBEL_DRUGBANK_RELATION,25833,42899,antagonist,unknown
EBEL_DRUGBANK_RELATION,17601,44121,antagonist,yes
EBEL_DRUGBANK_RELATION,22850,40204,inhibitor,yes
EBEL_DRUGBANK_RELATION,17939,42826,inhibitor,yes
EBEL_DRUGBANK_RELATION,25678,11077,agonist,unknown
EBEL_DRUGBANK_RELATION,25784,36216,antagonist,yes
EBEL_DRUGBANK_RELATION,17717,7853,inhibitor,yes
EBEL_DRUGBANK_RELATION,22755,32247,antagonist,yes
EBEL_DRUGBANK_RELATION,26051,37705,partial agonist,unknown
EBEL_DRUGBANK_RELATION,25946,39427,agonist,unknown
EBEL_DRUGBANK_RELATION,25835,38430,partial agonist,yes
EBEL_DRUGBANK_RELATION,17604,34974,antagonist,yes
EBEL_DRUGBANK_RELATION,22592,38642,inhibitor,unknown
EBEL_DRUGBANK_RELATION,25732,40255,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22644,43047,antagonist,unknown
EBEL_DRUGBANK_RELATION,17659,38093,antagonist,yes
EBEL_DRUGBANK_RELATION,25836,41028,antagonist,yes
EBEL_DRUGBANK_RELATION,26201,37702,inhibitor,yes
EBEL_DRUGBANK_RELATION,22902,25149,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22594,39967,antagonist,yes
EBEL_DRUGBANK_RELATION,25889,30585,agonist,unknown
EBEL_DRUGBANK_RELATION,12544,33694,activator,unknown
EBEL_DRUGBANK_RELATION,17721,36474,agonist,yes
EBEL_DRUGBANK_RELATION,22855,37803,antagonist,unknown
EBEL_DRUGBANK_RELATION,25683,33462,blocker,unknown
EBEL_DRUGBANK_RELATION,22762,43047,agonist,unknown
EBEL_DRUGBANK_RELATION,26008,36745,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,26153,36216,antagonist,yes
EBEL_DRUGBANK_RELATION,18012,41257,agonist,yes
EBEL_DRUGBANK_RELATION,17560,21038,inhibitor,unknown
EBEL_DRUGBANK_RELATION,25894,25495,inhibitor,yes
EBEL_DRUGBANK_RELATION,26154,40569,antagonist,unknown
EBEL_DRUGBANK_RELATION,17836,38382,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17836,44126,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17836,41064,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17836,10960,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17836,38587,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17836,37048,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17836,16691,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22599,39753,inhibitor,unknown
EBEL_DRUGBANK_RELATION,25794,16582,inhibitor,yes
EBEL_DRUGBANK_RELATION,26060,39967,inhibitor,unknown
EBEL_DRUGBANK_RELATION,26155,38102,antagonist,unknown
EBEL_DRUGBANK_RELATION,17779,32247,antagonist,yes
EBEL_DRUGBANK_RELATION,26156,39142,inhibitor,yes
EBEL_DRUGBANK_RELATION,22654,20871,agonist,yes
EBEL_DRUGBANK_RELATION,22436,11143,inhibitor,yes
EBEL_DRUGBANK_RELATION,22815,43806,antagonist,yes
EBEL_DRUGBANK_RELATION,17730,33733,antagonist,yes
EBEL_DRUGBANK_RELATION,25898,42524,inhibitor,unknown
EBEL_DRUGBANK_RELATION,12553,3648,agonist,yes
EBEL_DRUGBANK_RELATION,18015,38093,antagonist,yes
EBEL_DRUGBANK_RELATION,25690,36060,agonist,yes
EBEL_DRUGBANK_RELATION,22496,43124,agonist,unknown
EBEL_DRUGBANK_RELATION,26111,41618,activator,unknown
EBEL_DRUGBANK_RELATION,17617,25323,antagonist,no
EBEL_DRUGBANK_RELATION,17957,38273,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22817,42008,inhibitor,yes
EBEL_DRUGBANK_RELATION,17568,33462,agonist,unknown
EBEL_DRUGBANK_RELATION,22555,39142,inhibitor,yes
EBEL_DRUGBANK_RELATION,17618,44560,partial agonist,unknown
EBEL_DRUGBANK_RELATION,22556,35552,inhibitor,yes
EBEL_DRUGBANK_RELATION,26066,43228,antagonist,yes
EBEL_DRUGBANK_RELATION,12507,41542,antagonist,unknown
EBEL_DRUGBANK_RELATION,17899,32680,inhibitor,yes
EBEL_DRUGBANK_RELATION,22821,37443,inhibitor,unknown
EBEL_DRUGBANK_RELATION,26115,35906,antagonist,yes
EBEL_DRUGBANK_RELATION,22716,7853,inhibitor,yes
EBEL_DRUGBANK_RELATION,25802,35627,inhibitor,yes
EBEL_DRUGBANK_RELATION,26021,33319,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22770,39747,antagonist,yes
EBEL_DRUGBANK_RELATION,25962,40297,agonist,yes
EBEL_DRUGBANK_RELATION,17518,34974,antagonist,yes
EBEL_DRUGBANK_RELATION,17518,21054,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22665,20802,inhibitor,yes
EBEL_DRUGBANK_RELATION,25804,33462,antagonist,yes
EBEL_DRUGBANK_RELATION,26118,29043,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22445,11103,agonist,yes
EBEL_DRUGBANK_RELATION,26163,7853,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17850,33780,antagonist,yes
EBEL_DRUGBANK_RELATION,22823,42954,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17851,40512,inhibitor,yes
EBEL_DRUGBANK_RELATION,22561,29202,inhibitor,yes
EBEL_DRUGBANK_RELATION,25911,36474,antagonist,yes
EBEL_DRUGBANK_RELATION,17967,40267,inhibitor,yes
EBEL_DRUGBANK_RELATION,22776,33462,antagonist,yes
EBEL_DRUGBANK_RELATION,25806,39002,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17474,35634,antagonist,yes
EBEL_DRUGBANK_RELATION,17626,11261,antagonist,unknown
EBEL_DRUGBANK_RELATION,17906,11322,agonist,yes
EBEL_DRUGBANK_RELATION,25913,39680,agonist,unknown
EBEL_DRUGBANK_RELATION,26169,35454,agonist,yes
EBEL_DRUGBANK_RELATION,25704,11103,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,26025,40737,agonist,yes
EBEL_DRUGBANK_RELATION,17628,42899,antagonist,yes
EBEL_DRUGBANK_RELATION,17742,16888,inducer,yes
EBEL_DRUGBANK_RELATION,22780,36132,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22874,41699,agonist,unknown
EBEL_DRUGBANK_RELATION,25967,43806,antagonist,yes
EBEL_DRUGBANK_RELATION,26171,25323,antagonist,unknown
EBEL_DRUGBANK_RELATION,17856,11433,inhibitor,yes
EBEL_DRUGBANK_RELATION,22781,42042,inhibitor,yes
EBEL_DRUGBANK_RELATION,22619,39329,partial agonist,yes
EBEL_DRUGBANK_RELATION,26123,40515,inhibitor,yes
EBEL_DRUGBANK_RELATION,17479,36474,agonist,yes
EBEL_DRUGBANK_RELATION,17524,40482,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22511,38247,partial agonist,unknown
EBEL_DRUGBANK_RELATION,17911,25323,agonist,yes
EBEL_DRUGBANK_RELATION,22401,37705,antagonist,unknown
EBEL_DRUGBANK_RELATION,22512,35049,inhibitor,yes
EBEL_DRUGBANK_RELATION,25813,44442,agonist,yes
EBEL_DRUGBANK_RELATION,22672,42436,inhibitor,yes
EBEL_DRUGBANK_RELATION,25973,44121,antagonist,yes
EBEL_DRUGBANK_RELATION,17580,42978,antagonist,unknown
EBEL_DRUGBANK_RELATION,22730,38093,antagonist,yes
EBEL_DRUGBANK_RELATION,17862,42954,activator,yes
EBEL_DRUGBANK_RELATION,25974,25323,antagonist,yes
EBEL_DRUGBANK_RELATION,25711,42416,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17529,40563,agonist,unknown
EBEL_DRUGBANK_RELATION,22786,38176,inhibitor,yes
EBEL_DRUGBANK_RELATION,25819,36474,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22678,37594,inhibitor,yes
EBEL_DRUGBANK_RELATION,22405,36936,inhibitor,yes
EBEL_DRUGBANK_RELATION,22734,21105,inhibitor,no
EBEL_DRUGBANK_RELATION,12524,29208,agonist,unknown
EBEL_DRUGBANK_RELATION,17696,33764,inhibitor,yes
EBEL_DRUGBANK_RELATION,25714,36304,inhibitor,yes
EBEL_DRUGBANK_RELATION,26180,34852,agonist,yes
EBEL_DRUGBANK_RELATION,25715,34974,antagonist,yes
EBEL_DRUGBANK_RELATION,25979,38336,agonist,yes
EBEL_DRUGBANK_RELATION,17698,38176,inhibitor,yes
EBEL_DRUGBANK_RELATION,22625,35549,agonist,yes
EBEL_DRUGBANK_RELATION,17753,38338,antagonist,unknown
EBEL_DRUGBANK_RELATION,26184,16429,inhibitor,yes
EBEL_DRUGBANK_RELATION,22465,35811,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22408,40297,antagonist,yes
EBEL_DRUGBANK_RELATION,22839,30794,inhibitor,yes
EBEL_DRUGBANK_RELATION,25982,39007,antagonist,yes
EBEL_DRUGBANK_RELATION,17586,38391,activator,unknown
EBEL_DRUGBANK_RELATION,17755,35634,agonist,unknown
EBEL_DRUGBANK_RELATION,22573,34974,antagonist,yes
EBEL_DRUGBANK_RELATION,22739,30585,agonist,yes
EBEL_DRUGBANK_RELATION,25770,36474,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,25983,37705,partial agonist,unknown
EBEL_DRUGBANK_RELATION,17587,7908,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22527,43228,antagonist,yes
EBEL_DRUGBANK_RELATION,25771,36373,antagonist,yes
EBEL_DRUGBANK_RELATION,22411,8083,antagonist,yes
EBEL_DRUGBANK_RELATION,22741,41985,inhibitor,unknown
EBEL_DRUGBANK_RELATION,25871,37594,inhibitor,yes
EBEL_DRUGBANK_RELATION,22412,35962,inhibitor,yes
EBEL_DRUGBANK_RELATION,22575,38093,antagonist,unknown
EBEL_DRUGBANK_RELATION,22743,7701,inhibitor,yes
EBEL_DRUGBANK_RELATION,25988,30794,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17871,42436,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22471,32445,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22414,10938,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17704,43401,inhibitor,yes
EBEL_DRUGBANK_RELATION,22633,42978,antagonist,yes
EBEL_DRUGBANK_RELATION,22745,34974,antagonist,unknown
EBEL_DRUGBANK_RELATION,26040,39967,partial agonist,yes
EBEL_DRUGBANK_RELATION,17644,32709,inhibitor,yes
EBEL_DRUGBANK_RELATION,17928,38837,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,26087,42809,antagonist,unknown
EBEL_DRUGBANK_RELATION,22533,40201,inhibitor,yes
EBEL_DRUGBANK_RELATION,25775,36745,antagonist,unknown
EBEL_DRUGBANK_RELATION,17874,36745,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22890,40737,agonist,yes
EBEL_DRUGBANK_RELATION,25669,40789,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,25827,11438,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,17817,35634,agonist,unknown
EBEL_DRUGBANK_RELATION,22534,10979,inhibitor,yes
EBEL_DRUGBANK_RELATION,17932,34974,antagonist,unknown
EBEL_DRUGBANK_RELATION,12535,11103,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22891,40737,antagonist,yes
EBEL_DRUGBANK_RELATION,25993,41042,inhibitor,yes
EBEL_DRUGBANK_RELATION,22691,37829,inhibitor,yes
EBEL_DRUGBANK_RELATION,17935,25527,inducer,yes
EBEL_DRUGBANK_RELATION,22801,33589,inhibitor,unknown
EBEL_DRUGBANK_RELATION,25725,35149,inhibitor,unknown
EBEL_DRUGBANK_RELATION,26193,39893,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,25726,32696,agonist,yes
EBEL_DRUGBANK_RELATION,25996,20748,agonist,yes
EBEL_DRUGBANK_RELATION,22803,35549,agonist,yes
EBEL_DRUGBANK_RELATION,26095,11077,agonist,yes
EBEL_DRUGBANK_RELATION,17822,41042,inhibitor,yes
EBEL_DRUGBANK_RELATION,25728,33686,partial agonist,yes
EBEL_DRUGBANK_RELATION,25943,31048,agonist,yes
EBEL_DRUGBANK_RELATION,22697,7725,inducer,unknown
EBEL_DRUGBANK_RELATION,25833,16611,antagonist,unknown
EBEL_DRUGBANK_RELATION,17601,32607,inhibitor,yes
EBEL_DRUGBANK_RELATION,22850,43473,inhibitor,yes
EBEL_DRUGBANK_RELATION,26000,36638,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17939,38998,inhibitor,yes
EBEL_DRUGBANK_RELATION,25678,38102,agonist,unknown
EBEL_DRUGBANK_RELATION,25784,7823,antagonist,yes
EBEL_DRUGBANK_RELATION,17770,25323,antagonist,yes
EBEL_DRUGBANK_RELATION,22483,37705,antagonist,yes
EBEL_DRUGBANK_RELATION,22805,37492,inhibitor,yes
EBEL_DRUGBANK_RELATION,26099,40737,agonist,yes
EBEL_DRUGBANK_RELATION,26002,35627,inhibitor,yes
EBEL_DRUGBANK_RELATION,25887,40883,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17657,11433,inhibitor,yes
EBEL_DRUGBANK_RELATION,25732,30864,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22644,25444,antagonist,unknown
EBEL_DRUGBANK_RELATION,17659,35828,antagonist,yes
EBEL_DRUGBANK_RELATION,22902,42166,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22594,38701,antagonist,yes
EBEL_DRUGBANK_RELATION,25889,39680,agonist,unknown
EBEL_DRUGBANK_RELATION,12544,38827,activator,unknown
EBEL_DRUGBANK_RELATION,17721,43047,agonist,yes
EBEL_DRUGBANK_RELATION,22855,35828,antagonist,unknown
EBEL_DRUGBANK_RELATION,17507,43505,antagonist,unknown
EBEL_DRUGBANK_RELATION,26006,42524,inhibitor,yes
EBEL_DRUGBANK_RELATION,25683,3760,blocker,unknown
EBEL_DRUGBANK_RELATION,22762,44121,agonist,unknown
EBEL_DRUGBANK_RELATION,26008,11438,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,17834,7853,inhibitor,yes
EBEL_DRUGBANK_RELATION,25841,42166,inhibitor,yes
EBEL_DRUGBANK_RELATION,26205,25323,antagonist,yes
EBEL_DRUGBANK_RELATION,18012,11077,agonist,unknown
EBEL_DRUGBANK_RELATION,25894,3635,inhibitor,unknown
EBEL_DRUGBANK_RELATION,26154,34402,antagonist,unknown
EBEL_DRUGBANK_RELATION,17836,40970,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17836,36958,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17836,16549,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17836,11043,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17836,40459,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17836,29141,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17836,37822,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22599,11433,inhibitor,unknown
EBEL_DRUGBANK_RELATION,25794,42954,inhibitor,yes
EBEL_DRUGBANK_RELATION,26060,44560,inhibitor,unknown
EBEL_DRUGBANK_RELATION,26155,31019,antagonist,unknown
EBEL_DRUGBANK_RELATION,17837,37492,inhibitor,yes
EBEL_DRUGBANK_RELATION,22654,38247,agonist,yes
EBEL_DRUGBANK_RELATION,25844,44554,inhibitor,unknown
EBEL_DRUGBANK_RELATION,12503,37594,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22436,43645,inhibitor,yes
EBEL_DRUGBANK_RELATION,22815,35828,antagonist,unknown
EBEL_DRUGBANK_RELATION,17730,35369,antagonist,yes
EBEL_DRUGBANK_RELATION,22767,44121,agonist,unknown
EBEL_DRUGBANK_RELATION,25898,3566,inhibitor,unknown
EBEL_DRUGBANK_RELATION,17512,44528,antagonist;inhibitor,yes
EBEL_DRUGBANK_RELATION,22438,7853,inhibitor,yes
EBEL_DRUGBANK_RELATION,25690,36266,agonist,unknown
EBEL_DRUGBANK_RELATION,22553,41257,agonist,yes
EBEL_DRUGBANK_RELATION,26111,38322,activator,unknown
EBEL_DRUGBANK_RELATION,17617,36877,antagonist,no
EBEL_DRUGBANK_RELATION,17957,42978,antagonist,unknown
EBEL_DRUGBANK_RELATION,22817,35049,inhibitor,yes
EBEL_DRUGBANK_RELATION,17568,3760,agonist,unknown
EBEL_DRUGBANK_RELATION,25799,36912,inhibitor,yes
EBEL_DRUGBANK_RELATION,22555,39374,inhibitor,yes
EBEL_DRUGBANK_RELATION,17618,39967,agonist,unknown
EBEL_DRUGBANK_RELATION,22608,36954,inhibitor,yes
EBEL_DRUGBANK_RELATION,26066,25323,agonist,unknown
EBEL_DRUGBANK_RELATION,12507,34974,antagonist,unknown
EBEL_DRUGBANK_RELATION,17899,20777,inhibitor,yes
EBEL_DRUGBANK_RELATION,22868,38583,agonist,yes
EBEL_DRUGBANK_RELATION,26115,11408,antagonist,yes
EBEL_DRUGBANK_RELATION,25802,3635,inhibitor,yes
EBEL_DRUGBANK_RELATION,26021,43315,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22389,20871,agonist,unknown
EBEL_DRUGBANK_RELATION,22770,38413,partial agonist,unknown
EBEL_DRUGBANK_RELATION,17518,39893,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22665,34763,inhibitor,yes
EBEL_DRUGBANK_RELATION,25804,3760,antagonist,yes
EBEL_DRUGBANK_RELATION,26118,40789,positive allosteric modulator,yes
EBEL_DRUGBANK_RELATION,22445,32696,agonist,yes
EBEL_DRUGBANK_RELATION,22772,3620,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22823,40716,inhibitor,unknown
EBEL_DRUGBANK_RELATION,26119,25132,inhibitor,yes
EBEL_DRUGBANK_RELATION,17851,44594,inhibitor,yes
EBEL_DRUGBANK_RELATION,22561,40875,inhibitor,unknown
EBEL_DRUGBANK_RELATION,25911,43315,antagonist,yes
EBEL_DRUGBANK_RELATION,17967,40716,inhibitor,yes
