:ID,:LABEL,namespace:string,bel:string,name:string,involved_other:string
2262,BiologicalProcess,GOBP,"bp(GOBP:""production of molecular mediator involved in inflammatory response"")",production of molecular mediator involved in inflammatory response,production of molecular mediator involved in inflammatory response
2263,BiologicalProcess,GOBP,"bp(GOBP:""regulation of catalytic activity"")",regulation of catalytic activity,regulation of catalytic activity
2264,BiologicalProcess,GOBP,"bp(GOBP:""negative regulation of insulin secretion involved in cellular response to glucose stimulus"")",negative regulation of insulin secretion involved in cellular response to glucose stimulus,negative regulation of insulin secretion involved in cellular response to glucose stimulus
2265,BiologicalProcess,GOBP,"bp(GOBP:""Notch signaling pathway"")",Notch signaling pathway,Notch signaling pathway
2266,BiologicalProcess,GOBP,"bp(GOBP:""lipid metabolic process"")",lipid metabolic process,lipid metabolic process
2267,BiologicalProcess,GOBP,"bp(GOBP:""maintenance of permeability of blood-brain barrier"")",maintenance of permeability of blood-brain barrier,maintenance of permeability of blood-brain barrier
2268,BiologicalProcess,HP,"bp(HP:""cholinesterase activity"")",cholinesterase activity,cholinesterase activity
2269,BiologicalProcess,GOBP,"bp(GOBP:""leukotriene production involved in inflammatory response"")",leukotriene production involved in inflammatory response,leukotriene production involved in inflammatory response
2270,BiologicalProcess,GOBP,"bp(GOBP:""superoxide dismutase activity"")",superoxide dismutase activity,superoxide dismutase activity
2271,BiologicalProcess,GOBP,"bp(GOBP:""peptidyl-cysteine S-trans-nitrosylation"")",peptidyl-cysteine S-trans-nitrosylation,peptidyl-cysteine S-trans-nitrosylation
2272,BiologicalProcess,PTS,"bp(PTS:""amyloidogenic pathway"")",amyloidogenic pathway,amyloidogenic pathway
2273,BiologicalProcess,GOBP,"bp(GOBP:""hormone secretion"")",hormone secretion,hormone secretion
2274,BiologicalProcess,MESHPP,"bp(MESHPP:""Mitochondrial Swelling"")",Mitochondrial Swelling,Mitochondrial Swelling
2275,BiologicalProcess,GO,"bp(GO:""action potential"")",action potential,action potential
2276,BiologicalProcess,GO,"bp(GO:""apoptotic DNA fragmentation"")",apoptotic DNA fragmentation,apoptotic DNA fragmentation
2277,BiologicalProcess,GO,"bp(GO:""synapse pruning"")",synapse pruning,synapse pruning
2278,BiologicalProcess,GO,"bp(GO:""positive regulation of short-term neuronal synaptic plasticity"")",positive regulation of short-term neuronal synaptic plasticity,positive regulation of short-term neuronal synaptic plasticity
2279,BiologicalProcess,GO,"bp(GO:""microtubule cytoskeleton organization"")",microtubule cytoskeleton organization,microtubule cytoskeleton organization
2280,BiologicalProcess,MESH,"bp(MESH:""Apoptosis"")",Apoptosis,Apoptosis
2281,BiologicalProcess,GO,"bp(GO:""ubiquitin-dependent protein catabolic process"")",ubiquitin-dependent protein catabolic process,ubiquitin-dependent protein catabolic process
2282,BiologicalProcess,GO,"bp(GO:""synaptic vesicle membrane organization"")",synaptic vesicle membrane organization,synaptic vesicle membrane organization
2283,BiologicalProcess,GO,"bp(GO:""negative regulation of cell volume"")",negative regulation of cell volume,negative regulation of cell volume
2284,BiologicalProcess,GO,"bp(GO:""central nervous system development"")",central nervous system development,central nervous system development
2285,BiologicalProcess,GO,"bp(GO:""ectoderm development"")",ectoderm development,ectoderm development
2286,BiologicalProcess,MESH,"bp(MESH:""Vision, Ocular"")","Vision, Ocular","Vision, Ocular"
2287,BiologicalProcess,GO,"bp(GO:""tissue remodeling"")",tissue remodeling,tissue remodeling
2288,BiologicalProcess,GO,"bp(GO:""autophagosome assembly"")",autophagosome assembly,autophagosome assembly
2289,BiologicalProcess,GO,"bp(GO:""DNA replication initiation"")",DNA replication initiation,DNA replication initiation
2290,BiologicalProcess,GO,"bp(GO:""selective autophagy"")",selective autophagy,selective autophagy
2291,BiologicalProcess,GO,"bp(GO:""actin filament polymerization"")",actin filament polymerization,actin filament polymerization
2292,BiologicalProcess,GO,"bp(GO:""actin cytoskeleton reorganization"")",actin cytoskeleton reorganization,actin cytoskeleton reorganization
2293,BiologicalProcess,GOBP,"bp(GOBP:""microglial cell activation involved in immune response"")",microglial cell activation involved in immune response,microglial cell activation involved in immune response
2294,BiologicalProcess,GOBP,"bp(GOBP:""misfolded protein transport"")",misfolded protein transport,misfolded protein transport
2295,BiologicalProcess,GOBP,"bp(GOBP:""type III interferon production"")",type III interferon production,type III interferon production
2296,BiologicalProcess,GOBP,"bp(GOBP:""canonical Wnt signaling pathway"")",canonical Wnt signaling pathway,canonical Wnt signaling pathway
2297,BiologicalProcess,GOBP,"bp(GOBP:""regulation of synaptic activity"")",regulation of synaptic activity,regulation of synaptic activity
2298,BiologicalProcess,GOBP,"bp(GOBP:""positive regulation of synaptic plasticity"")",positive regulation of synaptic plasticity,positive regulation of synaptic plasticity
2299,BiologicalProcess,MESHPP,"bp(MESHPP:""Longevity"")",Longevity,Longevity
2300,BiologicalProcess,HP,"bp(HP:""kinase activity"")",kinase activity,kinase activity
2301,BiologicalProcess,PMIBP,"bp(PMIBP:""glycogen synthase kinase-3 beta intracellular signaling pathway"")",glycogen synthase kinase-3 beta intracellular signaling pathway,glycogen synthase kinase-3 beta intracellular signaling pathway
2302,BiologicalProcess,GOBP,"bp(GOBP:""nagative regulation of blood pressure"")",nagative regulation of blood pressure,nagative regulation of blood pressure
2303,BiologicalProcess,GOBP,"bp(GOBP:""positive regulation of mitochondrial membrane permeability involved in apoptotic process"")",positive regulation of mitochondrial membrane permeability involved in apoptotic process,positive regulation of mitochondrial membrane permeability involved in apoptotic process
2304,BiologicalProcess,GOBP,"bp(GOBP:""phospholipid-hydroperoxide glutathione peroxidase activity"")",phospholipid-hydroperoxide glutathione peroxidase activity,phospholipid-hydroperoxide glutathione peroxidase activity
2305,BiologicalProcess,MESHPP,"bp(MESHPP:""Long-Term Synaptic Depression"")",Long-Term Synaptic Depression,Long-Term Synaptic Depression
2306,BiologicalProcess,GO,"bp(GO:""behavior"")",behavior,behavior
2307,BiologicalProcess,GO,"bp(GO:""neuronal signal transduction"")",neuronal signal transduction,neuronal signal transduction
2308,BiologicalProcess,GO,"bp(GO:""dendritic spine development"")",dendritic spine development,dendritic spine development
2309,BiologicalProcess,GO,"bp(GO:""hypermethylation of CpG island"")",hypermethylation of CpG island,hypermethylation of CpG island
2310,BiologicalProcess,MESH,"bp(MESH:""Neuroprotection"")",Neuroprotection,Neuroprotection
2311,BiologicalProcess,GO,"bp(GO:""histone H4-K12 acetylation"")",histone H4-K12 acetylation,histone H4-K12 acetylation
2312,BiologicalProcess,GO,"bp(GO:""maintenance of cell number"")",maintenance of cell number,maintenance of cell number
2313,BiologicalProcess,GO,"bp(GO:""cellular response to oxidative stress"")",cellular response to oxidative stress,cellular response to oxidative stress
2314,BiologicalProcess,GO,"bp(GO:""monoamine transport"")",monoamine transport,monoamine transport
2315,BiologicalProcess,GO,"bp(GO:""mitochondrial fusion"")",mitochondrial fusion,mitochondrial fusion
2316,BiologicalProcess,MESH,"bp(MESH:""Immunomodulation"")",Immunomodulation,Immunomodulation
2317,BiologicalProcess,GO,"bp(GO:""regulatory T cell differentiation"")",regulatory T cell differentiation,regulatory T cell differentiation
2318,BiologicalProcess,GO,"bp(GO:""phosphatidylinositol 3-kinase signaling"")",phosphatidylinositol 3-kinase signaling,phosphatidylinositol 3-kinase signaling
2319,BiologicalProcess,GO,"bp(GO:""response to nicotine"")",response to nicotine,response to nicotine
2320,BiologicalProcess,MESH,"bp(MESH:""Calcium Signaling"")",Calcium Signaling,Calcium Signaling
2321,BiologicalProcess,GOBP,"bp(GOBP:""phagocytosis, engulfment"")","phagocytosis, engulfment","phagocytosis, engulfment"
2322,BiologicalProcess,GOBP,"bp(GOBP:""activation of immune response"")",activation of immune response,activation of immune response
2323,BiologicalProcess,GOBP,"bp(GOBP:""calcium-mediated signaling"")",calcium-mediated signaling,calcium-mediated signaling
2324,BiologicalProcess,GOBP,"bp(GOBP:""B cell proliferation"")",B cell proliferation,B cell proliferation
2325,BiologicalProcess,GO,"bp(GO:""lipid droplet formation"")",lipid droplet formation,lipid droplet formation
2326,BiologicalProcess,MESHPP,"bp(MESHPP:""PA"")",PA,PA
2327,BiologicalProcess,GOBP,"bp(GOBP:""protein kinase B signaling"")",protein kinase B signaling,protein kinase B signaling
2328,BiologicalProcess,GOBP,"bp(GOBP:""amyloid fibril formation"")",amyloid fibril formation,amyloid fibril formation
2329,BiologicalProcess,PMIBP,"bp(PMIBP:""neurological decline"")",neurological decline,neurological decline
2330,BiologicalProcess,GOBP,"bp(GOBP:""mitochondrial genome maintenance"")",mitochondrial genome maintenance,mitochondrial genome maintenance
2331,BiologicalProcess,GOBP,"bp(GOBP:""phosphatidylinositol 3-kinase signaling"")",phosphatidylinositol 3-kinase signaling,phosphatidylinositol 3-kinase signaling
2332,BiologicalProcess,GOBP,"bp(GOBP:""cell proliferattion"")",cell proliferattion,cell proliferattion
2333,BiologicalProcess,GO,"bp(GO:""lipid metabolic process"")",lipid metabolic process,lipid metabolic process
2334,BiologicalProcess,GO,"bp(GO:""regulation of mitochondrial membrane potential"")",regulation of mitochondrial membrane potential,regulation of mitochondrial membrane potential
2335,BiologicalProcess,GOBP,"bp(GOBP:""gamma-aminobutyric acid signaling pathway"")",gamma-aminobutyric acid signaling pathway,gamma-aminobutyric acid signaling pathway
2336,BiologicalProcess,GOBP,"bp(GOBP:""synaptic transmission, glutamatergic"")","synaptic transmission, glutamatergic","synaptic transmission, glutamatergic"
2337,BiologicalProcess,GOBP,"bp(GOBP:""regulation of adenosine receptor signaling pathway"")",regulation of adenosine receptor signaling pathway,regulation of adenosine receptor signaling pathway
2338,BiologicalProcess,GOBP,"bp(GOBP:""mitochondrial electron transport, cytochrome c to oxygen"")","mitochondrial electron transport, cytochrome c to oxygen","mitochondrial electron transport, cytochrome c to oxygen"
2339,BiologicalProcess,GO,"bp(GO:""autophagy"")",autophagy,autophagy
2340,BiologicalProcess,GO,"bp(GO:""amyloid-beta formation"")",amyloid-beta formation,amyloid-beta formation
2341,BiologicalProcess,GO,"bp(GO:""protein farnesylation"")",protein farnesylation,protein farnesylation
2342,BiologicalProcess,MESH,"bp(MESH:""Cell Survival"")",Cell Survival,Cell Survival
2343,BiologicalProcess,GO,"bp(GO:""superoxide anion generation"")",superoxide anion generation,superoxide anion generation
2344,BiologicalProcess,GO,"bp(GO:""phagocytosis"")",phagocytosis,phagocytosis
2345,BiologicalProcess,GO,"bp(GO:""mitophagy"")",mitophagy,mitophagy
2346,BiologicalProcess,GO,"bp(GO:""axonal transport of mitochondrion"")",axonal transport of mitochondrion,axonal transport of mitochondrion
2347,BiologicalProcess,GO,"bp(GO:""energy homeostasis"")",energy homeostasis,energy homeostasis
2348,BiologicalProcess,GO,"bp(GO:""nucleocytoplasmic transport"")",nucleocytoplasmic transport,nucleocytoplasmic transport
2349,BiologicalProcess,GO,"bp(GO:""negative regulation of NIK/NF-kappaB signaling"")",negative regulation of NIK/NF-kappaB signaling,negative regulation of NIK/NF-kappaB signaling
2350,BiologicalProcess,HP,"bp(HP:""Autoimmune antibody positivity"")",Autoimmune antibody positivity,Autoimmune antibody positivity
2351,BiologicalProcess,GO,"bp(GO:""spinal cord development"")",spinal cord development,spinal cord development
2352,BiologicalProcess,GO,"bp(GO:""dopamine secretion"")",dopamine secretion,dopamine secretion
2353,BiologicalProcess,GO,"bp(GO:""GO:0051935"")",GO:0051935,GO:0051935
2354,BiologicalProcess,GO,"bp(GO:""actin rod assembly"")",actin rod assembly,actin rod assembly
2355,BiologicalProcess,GO,"bp(GO:""mitochondrion localization"")",mitochondrion localization,mitochondrion localization
2356,BiologicalProcess,GO,"bp(GO:""aggresome assembly"")",aggresome assembly,aggresome assembly
2357,BiologicalProcess,GO,"bp(GO:""bile acid biosynthetic process"")",bile acid biosynthetic process,bile acid biosynthetic process
2358,BiologicalProcess,GO,"bp(GO:""response to chloroquine"")",response to chloroquine,response to chloroquine
2359,BiologicalProcess,GOBP,"bp(GOBP:""actin polymerization or depolymerization"")",actin polymerization or depolymerization,actin polymerization or depolymerization
2360,BiologicalProcess,GOBP,"bp(GOBP:""multinuclear osteoclast differentiation"")",multinuclear osteoclast differentiation,multinuclear osteoclast differentiation
2361,BiologicalProcess,GOBP,"bp(GOBP:""long-term synaptic potentiation"")",long-term synaptic potentiation,long-term synaptic potentiation
2362,BiologicalProcess,GOBP,"bp(GOBP:""mitochondrial calcium ion transport"")",mitochondrial calcium ion transport,mitochondrial calcium ion transport
2363,BiologicalProcess,GOBP,"bp(GOBP:""mitochondrion disassembly"")",mitochondrion disassembly,mitochondrion disassembly
2364,BiologicalProcess,GOBP,"bp(GOBP:""generation of neurons"")",generation of neurons,generation of neurons
2365,BiologicalProcess,GOBP,"bp(GOBP:""transmission of nerve impulse"")",transmission of nerve impulse,transmission of nerve impulse
2366,BiologicalProcess,PMIBP,"bp(PMIBP:""neurite retraction"")",neurite retraction,neurite retraction
2367,BiologicalProcess,GOBP,"bp(GOBP:""learning"")",learning,learning
2368,BiologicalProcess,GOBP,"bp(GOBP:""vasodilation"")",vasodilation,vasodilation
2369,BiologicalProcess,HP,"bp(HP:""DNA binding"")",DNA binding,DNA binding
2370,BiologicalProcess,MESHD,"bp(MESHD:""Insulin Resistance"")",Insulin Resistance,Insulin Resistance
2371,BiologicalProcess,GOBP,"bp(GOBP:""positive regulation of cellular process"")",positive regulation of cellular process,positive regulation of cellular process
2372,BiologicalProcess,GOBP,"bp(GOBP:""retrograde axon cargo transport"")",retrograde axon cargo transport,retrograde axon cargo transport
2373,BiologicalProcess,GOBP,"bp(GOBP:""neuron remodeling"")",neuron remodeling,neuron remodeling
2374,BiologicalProcess,GOBP,"bp(GOBP:""Wnt signaling pathway"")",Wnt signaling pathway,Wnt signaling pathway
2375,BiologicalProcess,GOBP,"bp(GOBP:""stress fiber assembly"")",stress fiber assembly,stress fiber assembly
2376,BiologicalProcess,GO,"bp(GO:""learning"")",learning,learning
2377,BiologicalProcess,GO,"bp(GO:""locomotion"")",locomotion,locomotion
2378,BiologicalProcess,GO,"bp(GO:""calcium ion homeostasis"")",calcium ion homeostasis,calcium ion homeostasis
2379,BiologicalProcess,CONSO,"bp(CONSO:""PI3K-Akt signaling pathway"")",PI3K-Akt signaling pathway,PI3K-Akt signaling pathway
2380,BiologicalProcess,GO,"bp(GO:""neuron differentiation"")",neuron differentiation,neuron differentiation
2381,BiologicalProcess,MESH,"bp(MESH:""Unfolded Protein Response"")",Unfolded Protein Response,Unfolded Protein Response
2382,BiologicalProcess,GO,"bp(GO:""microtubule bundle formation"")",microtubule bundle formation,microtubule bundle formation
2383,BiologicalProcess,GO,"bp(GO:""stress granule assembly"")",stress granule assembly,stress granule assembly
2384,BiologicalProcess,CONSO,"bp(CONSO:""Proteostasis"")",Proteostasis,Proteostasis
2385,BiologicalProcess,GO,"bp(GO:""DNA conformation change"")",DNA conformation change,DNA conformation change
2386,BiologicalProcess,MESH,"bp(MESH:""Glycolysis"")",Glycolysis,Glycolysis
2387,BiologicalProcess,GO,"bp(GO:""evasion or tolerance of host defenses by virus"")",evasion or tolerance of host defenses by virus,evasion or tolerance of host defenses by virus
2388,BiologicalProcess,MESH,"bp(MESH:""Remyelination"")",Remyelination,Remyelination
2389,BiologicalProcess,CONSO,"bp(CONSO:""amyloidogenesis"")",amyloidogenesis,amyloidogenesis
2390,BiologicalProcess,GO,"bp(GO:""cellular response to heat"")",cellular response to heat,cellular response to heat
2391,BiologicalProcess,MESH,"bp(MESH:""Neurofibrillary Tangles"")",Neurofibrillary Tangles,Neurofibrillary Tangles
2392,BiologicalProcess,GO,"bp(GO:""acetylcholine catabolic process"")",acetylcholine catabolic process,acetylcholine catabolic process
2393,BiologicalProcess,GO,"bp(GO:""response to ischemia"")",response to ischemia,response to ischemia
2394,BiologicalProcess,GO,"bp(GO:""SNARE complex assembly"")",SNARE complex assembly,SNARE complex assembly
2395,BiologicalProcess,MESH,"bp(MESH:""Protein Structure, Secondary"")","Protein Structure, Secondary","Protein Structure, Secondary"
2396,BiologicalProcess,GO,"bp(GO:""response to lipopolysaccharide"")",response to lipopolysaccharide,response to lipopolysaccharide
2397,BiologicalProcess,GOBP,"bp(GOBP:""apoptotic process"")",apoptotic process,apoptotic process
2398,BiologicalProcess,MESHPP,"bp(MESHPP:""Apoptosis"")",Apoptosis,Apoptosis
2399,BiologicalProcess,MESHPP,"bp(MESHPP:""Lipid Peroxidation"")",Lipid Peroxidation,Lipid Peroxidation
2400,BiologicalProcess,GOBP,"bp(GOBP:""macrophage activation"")",macrophage activation,macrophage activation
2401,BiologicalProcess,GOBP,"bp(GOBP:""protein stabilization"")",protein stabilization,protein stabilization
2402,BiologicalProcess,GOBP,"bp(GOBP:""ERK1 and ERK2 cascade"")",ERK1 and ERK2 cascade,ERK1 and ERK2 cascade
2403,BiologicalProcess,GOBP,"bp(GOBP:""T cell differentiation"")",T cell differentiation,T cell differentiation
2404,BiologicalProcess,GOBP,"bp(GOBP:""neuronal signal transduction"")",neuronal signal transduction,neuronal signal transduction
2405,BiologicalProcess,GOBP,"bp(GOBP:""cell differentiation"")",cell differentiation,cell differentiation
2406,BiologicalProcess,GOBP,"bp(GOBP:""regulation of synaptic plasticity"")",regulation of synaptic plasticity,regulation of synaptic plasticity
2407,BiologicalProcess,GOBP,"bp(GOBP:""cellular response to oxidative stress"")",cellular response to oxidative stress,cellular response to oxidative stress
2408,BiologicalProcess,GOBP,"bp(GOBP:""response to insulin"")",response to insulin,response to insulin
2409,BiologicalProcess,GOBP,"bp(GOBP:""platelet aggregation"")",platelet aggregation,platelet aggregation
2410,BiologicalProcess,GOBP,"bp(GOBP:""negative regulation of androgen receptor activity"")",negative regulation of androgen receptor activity,negative regulation of androgen receptor activity
2411,BiologicalProcess,NCIT,"bp(NCIT:""Proteolysis"")",Proteolysis,Proteolysis
2412,BiologicalProcess,NCIT,"bp(NCIT:""Aggregation"")",Aggregation,Aggregation
2413,BiologicalProcess,GO,"bp(GO:""myelination"")",myelination,myelination
2414,BiologicalProcess,GO,"bp(GO:""parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization"")",parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization,parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization
2415,BiologicalProcess,MESH,"bp(MESH:""Growth"")",Growth,Growth
