:ID,:LABEL,table_link:string,label:string,db_id:string,indication:string,cas_number:string
17489,Drug,2253X1611,Ergocalciferol,DB00153,"For use in the management of hypocalcemia and its clinical manifestations in patients with hypoparathyroidism, as well as for the treatment of familial hypophosphatemia (vitamin D resistant rickets). This drug has also been used in the treatment of nutritional rickets or osteomalacia, vitamin D dependent rickets, rickets or osteomalacia secondary to long-term high dose anticonvulsant therapy, early renal osteodystrophy, osteoporosis (in conjunction with calcium), and hypophosphatemia associated with Fanconi syndrome (with treatment of acidosis).",50-14-6
17490,Drug,2253X1644,Anastrozole,DB01217,"For adjuvant treatment of hormone receptor positive breast cancer , as well as hormonal treatment of advanced breast cancer in post-menopausal women. Has also been used to treat pubertal gynecomastia and McCune-Albright syndrome; however, manufacturer states that efficacy for these indications have not been established.",120511-73-1
17491,Drug,2253X1767,Telaprevir,,"Telaprevir, when used in combination with [DB00811], [DB00008], and [DB00022] is indicated for use in the treatment of chronic HCV genotype 1 infection in adults [FDA Label].",402957-28-2
17492,Drug,2254X1607,Interferon alfa-n3,DB00018,For the intralesional treatment of refractory or recurring external condylomata acuminata.,
17493,Drug,2254X1642,Thiamylal,DB01154,"Used for the production of complete anaesthesia of short duration, for the induction of general anaesthesia, and for inducing a hypnotic state.",77-27-0
17494,Drug,2255X1644,Dantrolene,DB01219,"For use, along with appropriate supportive measures, for the management of the fulminant hypermetabolism of skeletal muscle characteristic of malignant hyperthermia crises in patients of all ages. Also used preoperatively, and sometimes postoperatively, to prevent or attenuate the development of clinical and laboratory signs of malignant hyperthermia in individuals judged to be malignant hyperthermia susceptible.",7261-97-4
17495,Drug,2256X1613,Isoetarine,DB00221,"For the treatment of asthma, wheezing, and chronic asthmatic bronchitis.",79490-84-9
17496,Drug,2256X1646,Corticotropin,DB01285,For use as a diagnostic agent in the screening of patients presumed to have adrenocortical insufficiency.,12427-33-7
17497,Drug,2256X1952,Testosterone enanthate,DB13944,"Testosterone enanthate in males is indicated as a replacement therapy in conditions associated with a deficiency or absence of endogenous testosterone. Some of the treated conditions are 1) primary hypogonadism, defined as testicular failure due to cryptorchidism, bilateral torsion, orchitis, vanishing testis syndrome or orchidectomy; 2) hypogonadotropic hypogonadism due to an idiopathic gonadotropin or luteinizing hormone-releasing hormone deficiency or due to a pituitary-hypothalamic injury from tumors, trauma or radiation, in this case it is important to accompany the treatment with adrenal cortical and thyroid hormone replacement therapy; 3) to stimulate puberty in patients with delayed puberty not secondary to a pathological disorder. If the conditions 1 and 2 occur prior to puberty, the androgen replacement therapy will be needed during adolescent years for the development of secondary sexual characteristics and prolonged androgen treatment might be needed it to maintain sexual characteristics after puberty.[FDA label]    In females, testosterone enanthate is indicated to be used secondarily in presence of advanced inoperable metastatic mammary cancer in women who are from one to five years postmenopausal. It has also been used in premenopausal women with breast cancer who have benefited from oophorectomy and are considered to have a hormone-responsive tumor.[FDA label]",315-37-7
17498,Drug,2257X1641,Anisindione,DB01125,"For the prophylaxis and treatment of venous thrombosis and its extension, the treatment of atrial fibrillation with embolization, the prophylaxis and treatment of pulmonary embolism, and as an adjunct in the treatment of coronary occlusion.",117-37-3
17499,Drug,2257X1928,Nafamostat,,"Used as an anticoagulant in patients with disseminative blood vessel coagulation, hemorrhagic lesions, and hemorrhagic tendencies. It prevents blood clot formation during extracorporeal circulation in patients undergoing continuous renal replacement therapy and extra corporeal membrane oxygenation.",81525-10-2
17500,Drug,2258X1636,Apraclonidine,DB00964,For prevention or reduction of intraoperative and postoperative increases in intraocular pressure (IOP) before and after ocular laser surgery when used prophylactically. Also used as a short-term adjunctive therapy in patients with open-angle glaucoma who are on maximally tolerated medical therapy requiring additional IOP reduction.,66711-21-5
17501,Drug,2259X1629,Hydrocortisone,DB00741,"For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses. Also used to treat endocrine (hormonal) disorders (adrenal insufficiency, Addisons disease). It is also used to treat many immune and allergic disorders, such as arthritis, lupus, severe psoriasis, severe asthma, ulcerative colitis, and Crohn's disease.",50-23-7
17502,Drug,2259X1787,Nilvadipine,,"For the management of vasospastic angina, chronic stable angina and hypertension.",75530-68-6
17503,Drug,2259X1863,Lixisenatide,,For use as an antihyperglycemic agent in the treatment of T2DM [FDA Label].,320367-13-3
17504,Drug,2260X1628,Ibandronate,DB00710,For the treatment and prevention of osteoporosis in postmenopausal women.,114084-78-5
17505,Drug,2261X1623,Propylthiouracil,DB00550,Used to manage hyperthyroidism which is due to an overactive thyroid gland (Grave's disease).,51-52-5
17506,Drug,2262X1616,Carbimazole,DB00389,For the treatment of hyperthyroidism and thyrotoxicosis. It is also used to prepare patients for thyroidectomy.,22232-54-8
17507,Drug,2263X1642,Levomethadyl Acetate,DB01227,For the treatment and management of opiate dependence. It is sometimes used to treat severe pain in terminal patients.,1477-40-3
17508,Drug,2264X1643,Sitagliptin,DB01261,"For use as an adjunct to diet and exercise to improve glycemic control in patients with type 2 diabetes mellitus. Also for use in patients with type 2 diabetes mellitus to improve glycemic control in combination with metformin or a PPARγ agonist (e.g., thiazolidinediones) when the single agent alone, with diet and exercise, does not provide adequate glycemic control.",486460-32-6
17509,Drug,2265X1639,Tiludronic acid,DB01133,For treatment of Paget's disease of bone (osteitis deformans).,89987-06-4
17510,Drug,1866X1630,Nedocromil,DB00716,For the treatment of mild to moderate asthma,69049-73-6
17511,Drug,1866X1791,Hexocyclium,,"The World Health Organization classifies hexocyclium as a drug for functional gastrointestinal disorders [L876]. Like other anti-muscarinic agents, hexocyclium was likely used to treat peptic ulcers or diarrhea.",6004-98-4
17512,Drug,1868X1623,Miglitol,DB00491,For use as an adjunct to diet to improve glycemic control in patients with non-insulin-dependent diabetes mellitus (NIDDM) whose hyperglycemia cannot be managed with diet alone.,72432-03-2
17513,Drug,1869X1617,Dapiprazole,DB00298,Used in the treatment of iatrogenically induced mydriasis produced by adrenergic (phenylephrine) or parasympatholytic (tropicamide) agents used in certain eye examinations.,72822-12-9
17514,Drug,1870X1618,Ipratropium,DB00332,"For maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease, including chronic bronchitis and emphysema.",60205-81-4
17515,Drug,1870X1780,Nalmefene,,"Indicated for the reduction of alcohol consumption in adult patients with alcohol dependence who have a high drinking risk level (DRL), without physical withdrawal symptoms and who do not require immediate detoxification [L1024].    Indicated for the complete or partial reversal of opioid drug effects, including respiratory depression - induced by either natural or synthetic opioids - or in the management of known or suspected opioid overdose [FDA Label].",55096-26-9
17516,Drug,1871X1624,Lercanidipine,DB00528,"For the treatment of Hypertension, management of angina pectoris and Raynaud's syndrome",100427-26-7
17517,Drug,1871X1781,Alvimopan,,Used to accelerate the time to upper and lower gastrointestinal recovery following partial large or small bowel resection surgery with primary anastomosis. Also investigated for use in the treatment of pain (acute or chronic).,156053-89-3
17518,Drug,1872X1618,Olanzapine,DB00334,"For the acute and maintenance treatment of schizophrenia and related psychotic disorders, as well as acute treatment of manic or mixed episodes of bipolar 1 disorder. Intramuscular olanzapine is indicated for the rapid control of agitated patients.",132539-06-1
17519,Drug,1874X1644,Phenobarbital,DB01174,For the treatment of all types of seizures except absence seizures.,50-06-6
17520,Drug,1875X1633,Carprofen,DB00821,For use as a pain reliever in the treatment of joint pain and post-surgical pain.,53716-49-7
17521,Drug,1875X1911,Ocrelizumab,,Indicated for the treatment of adult patients with relapsing or primary progressive forms of multiple sclerosis [FDA Label].,637334-45-3
17522,Drug,1876X1633,Disulfiram,DB00822,For the treatment and management of chronic alcoholism,97-77-8
17523,Drug,1876X1852,Temocapril,,"Temocapril is an ACE inhibitor primarily indicated in the treatment of hypertension and congestive heart failure, diabetic nephropathy, and improvement of prognosis for coronary artery diseases (including acute myocardial infarction).",111902-57-9
17524,Drug,1877X1620,Alprazolam,DB00404,"For the management of anxiety disorder or the short-term relief of symptoms of anxiety and for the treatment of panic disorder, with or without agoraphobia.",28981-97-7
17525,Drug,1877X1778,Nylidrin,,"Nylidrin is mainly indicated in conditions like arteriosclerosis, cerebrovascular disease, peripheral vascular disease, Raynaud's disease, thrombo-angitis obliterans, and thrombophlebitis [L2285]. It may sometimes be used in the treatment of peripheral vascular disorders in addition premature labor (however, the drug is not approved for premature labor)[A32531].",447-41-6
17526,Drug,1878X1618,Thiethylperazine,DB00372,For the treatment or relief of nausea and vomiting.,1420-55-9
17527,Drug,1878X1654,Oxprenolol,,"Used in the treatment of hypertension, angina pectoris, arrhythmias, and anxiety.",6452-71-7
17528,Drug,1879X1610,Pyridoxal Phosphate,DB00114,For nutritional supplementation and for treating dietary shortage or imbalance.,54-47-7
17529,Drug,1879X1761,Rotigotine,,For use/treatment in neurologic disorders and parkinson's disease as well as moderate-to-severe primary Restless Legs Syndrome.,99755-59-6
17530,Drug,1880X1607,Darbepoetin alfa,DB00012,For the treatment of anemia (from renal transplants or certain HIV treatment),209810-58-2
17531,Drug,1880X1643,Rescinnamine,DB01180,For the treatment of hypertension.,24815-24-5
17532,Drug,1881X1614,Ziprasidone,DB00246,For the treatment of schizophrenia and related psychotic disorders.,146939-27-7
17533,Drug,2250X1614,Methysergide,DB00247,For the treatment of vascular headache,361-37-5
17534,Drug,2251X1609,Botulinum Toxin Type A,DB00083,"For the treatment of cervical dystonia in adults to decrease the severity of abnormal head position and neck pain associated with cervical dystonia. Also for the treatment of severe primary axillary hyperhidrosis that is inadequately managed with topical agents and for the treatment of strabismus and blepharospasm associated with dystonia, including benign essential blepharospasm or VII nerve disorders in patients 12 years of age and above. Also used cosmetically to temporarily improve the appearance of moderate-to-severe frown lines between the eyebrows (glabellar lines) as well as for the treatment of excessive underarm sweating.",93384-43-1
17535,Drug,2251X1643,Naloxone,DB01183,"For the complete or partial reversal of narcotic depression, including respiratory depression, induced by opioids including natural and synthetic narcotics, propoxyphene, methadone and the narcotic-antagonist analgesics: nalbuphine, pentazocine and butorphanol. It is also indicated for the diagnosis of suspected acute opioid overdose. It may also be used as an adjunctive agent to increase blood pressure in the management of septic shock.",465-65-6
17536,Drug,2251X1950,Lormetazepam,,For the treatment of short-term insomnia [L927],848-75-9
17537,Drug,2252X1643,Domperidone,DB01184,"For management of dyspepsia, heartburn, epigastric pain, nausea, and vomiting.",57808-66-9
17538,Drug,2253X1612,Lorazepam,DB00186,"For the management of anxiety disorders, and for treatment of status epilepticus.",846-49-1
17539,Drug,2253X1646,Carbetocin,,Used to control postpartum hemorrhage and bleeding after giving birth.,37025-55-1
17540,Drug,2254X1643,Pergolide,DB01186,Indicated as adjunctive treatment to levodopa/carbidopa in the management of the signs and symptoms of Parkinson's disease. It was withdrawn from the US and Canadian markets in 2007 due to an increased risk of cardiac valvulopathy.,66104-22-1
17541,Drug,2255X1645,Gliquidone,,Used in the treatment of diabetes mellitus type 2.,33342-05-1
17542,Drug,2256X1614,Medrysone,DB00253,"For the treatment of allergic conjunctivitis, vernal conjunctivitis, episcleritis, and epinephrine sensitivity.",2668-66-8
17543,Drug,2256X1647,Pipecuronium,,Used as a muscle relaxant during anesthesia and surgical procedures.,68399-58-6
17544,Drug,2256X1954,"5-methoxy-N,N-dimethyltryptamine",,,1019-45-0
17545,Drug,2257X1642,Trimetrexate,DB01157,"For use, with concurrent leucovorin administration (leucovorin protection), as an alternative therapy for the treatment of moderate-to-severe <i>Pneumocystis carinii</i> pneumonia (PCP) in immunocompromised patients, including patients with the acquired immunodeficiency syndrome (AIDS). Also used to treat several types of cancer including colon cancer.",52128-35-5
17546,Drug,2257X1945,Zofenopril,,,81872-10-8
17547,Drug,2258X1637,Gabapentin,DB00996,For the management of postherpetic neuralgia in adults and as adjunctive therapy in the treatment of partial seizures with and without secondary generalization in patients over 12 years of age with epilepsy.,60142-96-3
17548,Drug,2258X1677,Tolrestat,DB02383,For the pharmacological control of certain diabetic complications.,82964-04-3
17549,Drug,2258X1897,Indigotindisulfonic Acid,,This drug was initially used as a kidney function test. The main application of indigo carmine at this time is localizing and visualizing ureteral orifices during cystoscopy and ureteral catheterization procedures [L2215].,483-20-5
17550,Drug,2259X1630,Etoposide,DB00773,"For use in combination with other chemotherapeutic agents in the treatment of refractory testicular tumors and as first line treatment in patients with small cell lung cancer. Also used to treat other malignancies such as lymphoma, non-lymphocytic leukemia, and glioblastoma multiforme.",33419-42-0
17551,Drug,2259X1789,Desoxycorticosterone acetate,,,56-47-3
17552,Drug,2259X1865,Osimertinib,,"Osimertinib is indicated for the treatment of patients with metastatic epidermal growth factor receptor (EGFR) T790M mutation-positive non-small cell lung cancer (NSCLC), as detected by an FDA- approved test, who have progressed on or after EGFR-TKI therapy.",1421373-65-0
17553,Drug,2260X1630,Hydroflumethiazide,DB00774,"Used as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. Also used in the management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension.",135-09-1
17554,Drug,2261X1850,Lurasidone,,Treatment of schizophrenia.,367514-87-2
17555,Drug,2262X1617,Spironolactone,DB00421,"Used primarily to treat low-renin hypertension, hypokalemia, and Conn's syndrome.",52-01-7
17556,Drug,2263X1643,Desonide,,For the relief of the inflammatory and pruritic manifestations of corticosteroid responsive dermatose.,638-94-8
17557,Drug,2264X1610,Troglitazone,DB00197,"For the treatment of Type II diabetes mellitus. It is used alone or in combination with a sulfonylurea, metformin, or insulin as an adjunct to diet and exercise.",97322-87-7
17558,Drug,2264X1950,Estradiol benzoate,DB13953,Estradiol benzoate is not currently available in any FDA or Health Canada approved products.,50-50-0
17559,Drug,2265X1640,Ofloxacin,DB01165,"For the treatment of infections (respiratory tract, kidney, skin, soft tissue, UTI), urethral and cervical gonorrhoea.",82419-36-1
17560,Drug,2265X1745,Suramin,,"For treatment of human sleeping sickness, onchocerciasis and other diseases caused by trypanosomes and worms.",145-63-1
17561,Drug,2265X1891,Hexylresorcinol,,"Hexylresorcinol is predominantly employed as the active ingredient in lotions, sprays, or lozenges indicated as a (a) topical antiseptic to help prevent skin infection in minor cuts, scrapes, or burns, or (b) as an antiseptic and local anesthetic for the relief of a sore throat and its associated pain [L2734, L2735].    In addition, hexylresorcinol is used as an active ingredient in various commercial cosmetic skincare products as an anti-aging cream [L2736] while other studies have looked into whether or not the compound could be used effectively as an anti-inflammatory agent or even as an anti-cancer therapy [L2736].",136-77-6
