:ID,:LABEL,namespace:string,species:float,label:string,pure:boolean,bel:string,name:string,involved_genes:string,suggested_corrections:string,hgnc:string
2761,Rna,MGI,10090.0,,False,"r(MGI:""Slco1a1"")",Slco1a1,Slco1a1,,
2762,Rna,HGNC,9606.0,cholinergic receptor nicotinic alpha 3 subunit,,"r(HGNC:""CHRNA3"",loc(MESH:""Neurons""))",CHRNA3,CHRNA3,,1563X5704
2763,Rna,RGD,10116.0,,False,"r(RGD:""Cxcl2"")",Cxcl2,Cxcl2,,
2764,Rna,MGI,10090.0,,False,"r(MGI:""Acp5"")",Acp5,Acp5,,
2765,Rna,MGI,10090.0,,False,"r(MGI:""Zfp825"")",Zfp825,Zfp825,,
2766,Rna,MGI,10090.0,,False,"r(MGI:""Olr1"")",Olr1,Olr1,,
2767,Rna,HGNC,9606.0,zinc finger protein 674,False,"r(HGNC:""ZNF674"")",ZNF674,ZNF674,,1571X8126
2768,Rna,HGNC,9606.0,"coagulation factor III, tissue factor",False,"r(HGNC:""F3"")",F3,F3,,1571X5937
2769,Rna,RGD,10116.0,,False,"r(RGD:""Zfp746"")",Zfp746,Zfp746,,
2770,Rna,HGNC,9606.0,Wnt family member 3A,False,"r(HGNC:""WNT3A"")",WNT3A,WNT3A,,1564X8062
2771,Rna,RGD,10116.0,,False,"r(RGD:""Il12rb2"")",Il12rb2,Il12rb2,,
2772,Rna,MGI,10090.0,,False,"r(MGI:""Zfp334"")",Zfp334,Zfp334,,
2773,Rna,HGNC,9606.0,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma,False,"r(HGNC:""PIP4K2C"")",PIP4K2C,PIP4K2C,,1563X7013
2774,Rna,RGD,10116.0,,False,"r(RGD:""Nceh1"")",Nceh1,Nceh1,,
2775,Rna,MGI,10090.0,,,"r(MGI:""Khdrbs3"",loc(MESHA:""Microglia""))",Khdrbs3,Khdrbs3,,
2776,Rna,HGNC,9606.0,ATPase Na+/K+ transporting subunit beta 3,False,"r(HGNC:""ATP1B3"")",ATP1B3,ATP1B3,,1568X5530
2777,Rna,HGNC,9606.0,zinc finger protein 560,False,"r(HGNC:""ZNF560"")",ZNF560,ZNF560,,1571X8119
2778,Rna,HGNC,9606.0,zinc finger protein 282,False,"r(HGNC:""ZNF282"")",ZNF282,ZNF282,,1575X8106
2779,Rna,MGI,10090.0,,False,"r(MGI:""interleukin 6"")",interleukin 6,interleukin 6,,
2780,Rna,RGD,10116.0,,False,"r(RGD:""Fxyd4"")",Fxyd4,Fxyd4,,
2781,Rna,RGD,10116.0,,False,"r(RGD:""Zfp282"")",Zfp282,Zfp282,,
2782,Rna,MGI,10090.0,,,"r(MGI:""Limk1"",loc(MESHA:""Microglia""))",Limk1,Limk1,,
2783,Rna,HGNC,9606.0,sestrin 2,False,"r(HGNC:""SESN2"")",SESN2,SESN2,,1567X7603
2784,Rna,HGNC,9606.0,hexokinase domain containing 1,False,"r(HGNC:""HKDC1"")",HKDC1,HKDC1,,1572X6138
2785,Rna,HGNC,9606.0,TNFRSF1A associated via death domain,False,"r(HGNC:""TRADD"")",TRADD,TRADD,,1561X7893
2786,Rna,MGI,10090.0,,False,"r(MGI:""Zim1"")",Zim1,Zim1,,
2787,Rna,MGI,10090.0,,False,"r(MGI:""Gria2"")",Gria2,Gria2,,
2788,Rna,HGNC,9606.0,cyclin B3,False,"r(HGNC:""CCNB3"")",CCNB3,CCNB3,,1565X5648
2789,Rna,HGNC,9606.0,myocyte enhancer factor 2C,False,"r(HGNC:""MEF2C"")",MEF2C,MEF2C,,1569X6556
2790,Rna,HGNC,9606.0,baculoviral IAP repeat containing 5,False,"r(HGNC:""BIRC5"")",BIRC5,BIRC5,,1563X5564
2791,Rna,MGI,10090.0,,False,"r(MGI:""Pou5f1"")",Pou5f1,Pou5f1,,
2792,Rna,HGNC,9606.0,TNF receptor superfamily member 10a,False,"r(HGNC:""TNFRSF10A"")",TNFRSF10A,TNFRSF10A,,1574X7870
2793,Rna,RGD,10116.0,,False,"r(RGD:""Cldn22"")",Cldn22,Cldn22,,
2794,Rna,MGI,10090.0,,False,"r(MGI:""Birc5"")",Birc5,Birc5,,
2795,Rna,MGI,10090.0,,False,"r(MGI:""Hif1a"")",Hif1a,Hif1a,,
2796,Rna,HGNCGENEFAMILY,,,False,"r(HGNCGENEFAMILY:""Soluble glutathione S-transferases"")",Soluble glutathione S-transferases,Soluble glutathione S-transferases,,
2797,Rna,MGI,10090.0,,False,"r(MGI:""Dusp6"")",Dusp6,Dusp6,,
2798,Rna,RGD,10116.0,,False,"r(RGD:""Npy"")",Npy,Npy,,
2799,Rna,HGNC,9606.0,F-box protein 7,False,"r(HGNC:""FBXO7"")",FBXO7,FBXO7,,1568X5974
2800,Rna,HGNC,9606.0,nuclear receptor subfamily 0 group B member 2,False,"r(HGNC:""NR0B2"")",NR0B2,NR0B2,,1569X6856
2801,Rna,MGI,10090.0,,False,"r(MGI:""Zfp607a"")",Zfp607a,Zfp607a,,
2802,Rna,RGD,10116.0,,False,"r(RGD:""Rprm"")",Rprm,Rprm,,
2803,Rna,HGNC,9606.0,zinc finger protein 316,False,"r(HGNC:""ZNF316"")",ZNF316,ZNF316,,1563X8109
2804,Rna,RGD,10116.0,,False,"r(RGD:""Mmp1b"")",Mmp1b,Mmp1b,,
2805,Rna,HGNC,9606.0,anti-Mullerian hormone,False,"r(HGNC:""AMH"")",AMH,AMH,,1565X5472
2806,Rna,RGD,10116.0,,False,"r(RGD:""Abcb1a"")",Abcb1a,Abcb1a,,
2807,Rna,HGNC,9606.0,zinc finger protein 473,False,"r(HGNC:""ZNF473"")",ZNF473,ZNF473,,1572X8114
2808,Rna,HGNC,9606.0,ATP binding cassette subfamily D member 3,False,"r(HGNC:""ABCD3"")",ABCD3,ABCD3,,1575X5417
2809,Rna,MGI,10090.0,,False,"r(MGI:""Ccnd2"")",Ccnd2,Ccnd2,,
2810,Rna,HGNC,9606.0,RNA binding fox-1 homolog 3,False,"r(HGNC:""RBFOX3"")",RBFOX3,RBFOX3,,1570X7150
2811,Rna,HGNC,9606.0,zinc finger protein 235,False,"r(HGNC:""ZNF235"")",ZNF235,ZNF235,,1575X8104
2812,Rna,HGNC,9606.0,crystallin alpha B,False,"r(HGNC:""CRYAB"")",CRYAB,CRYAB,,1576X5757
2813,Rna,MGI,10090.0,,False,"r(MGI:""Zfp9"")",Zfp9,Zfp9,,
2814,Rna,MGI,10090.0,,False,"r(MGI:""Fabp4"")",Fabp4,Fabp4,,
2815,Rna,HGNC,9606.0,"zinc finger protein 705E, pseudogene",False,"r(HGNC:""ZNF705EP"")",ZNF705EP,ZNF705E,"{""name"": ""previous symbol used; use instead current symbol:ZNF705EP""}",1573X8128
2816,Rna,HGNC,9606.0,"Pim-1 proto-oncogene, serine/threonine kinase",False,"r(HGNC:""PIM1"")",PIM1,PIM1,,1573X7010
2817,Rna,RGD,10116.0,,False,"r(RGD:""Zfp853"")",Zfp853,Zfp853,,
2818,Rna,MGI,10090.0,,False,"r(MGI:""Zfp442"")",Zfp442,Zfp442,,
2819,Rna,MGI,10090.0,,False,"r(MGI:""Gli3"")",Gli3,Gli3,,
2820,Rna,RGD,10116.0,,False,"r(RGD:""Fbxo32"")",Fbxo32,Fbxo32,,
2821,Rna,HGNC,9606.0,C-X-C motif chemokine ligand 3,False,"r(HGNC:""CXCL3"")",CXCL3,CXCL3,,1562X5780
2822,Rna,RGD,10116.0,,False,"r(RGD:""Acadm"")",Acadm,Acadm,,
2823,Rna,MGI,10090.0,,,"r(MGI:""Tm9sf4"",loc(MESHA:""Microglia""))",Tm9sf4,Tm9sf4,,
2824,Rna,HGNC,9606.0,hydroxysteroid 17-beta dehydrogenase 1,False,"r(HGNC:""HSD17B1"")",HSD17B1,HSD17B1,,1573X6175
2825,Rna,MGI,10090.0,,False,"r(MGI:""Zfp709"")",Zfp709,Zfp709,,
2826,Rna,MGI,10090.0,,False,"r(MGI:""Il5"")",Il5,Il5,,
2827,Rna,HGNC,9606.0,complement C1q B chain,False,"r(HGNC:""C1QB"")",C1QB,C1QB,,1562X5591
2828,Rna,HGNC,9606.0,vascular endothelial growth factor C,False,"r(HGNC:""VEGFC"")",VEGFC,VEGFC,,1568X8030
2829,Rna,HGNC,9606.0,paired like homeodomain 2,False,"r(HGNC:""PITX2"")",PITX2,PITX2,,1562X7022
2830,Rna,MGI,10090.0,,False,"r(MGI:""Itgal"")",Itgal,Itgal,,
2831,Rna,MGI,10090.0,,False,"r(MGI:""S100a9"")",S100a9,S100a9,,
2832,Rna,MGI,10090.0,,False,"r(MGI:""Hhip"")",Hhip,Hhip,,
2833,Rna,MGI,10090.0,,False,"r(MGI:""Sat1"")",Sat1,Sat1,,
2834,Rna,HGNC,9606.0,uridine phosphorylase 1,False,"r(HGNC:""UPP1"")",UPP1,UPP1,,1569X8010
2835,Rna,RGD,10116.0,,False,"r(RGD:""Hsd3b1"")",Hsd3b1,Hsd3b1,,
2836,Rna,MGI,10090.0,,False,"r(MGI:""Cyp11b2"")",Cyp11b2,Cyp11b2,,
2837,Rna,HGNC,9606.0,zinc finger protein 135,False,"r(HGNC:""ZNF135"")",ZNF135,ZNF135,,1562X8102
2838,Rna,HGNC,9606.0,"Fos proto-oncogene, AP-1 transcription factor subunit",False,"r(HGNC:""FOS"")",FOS,FOS,,1573X5997
2839,Rna,HGNCGENEFAMILY,,,False,"r(HGNCGENEFAMILY:""Cathepsins"")",Cathepsins,Cathepsins,,
2840,Rna,MGI,10090.0,,False,"r(MGI:""Gadd45a"")",Gadd45a,Gadd45a,,
2841,Rna,HGNC,9606.0,zinc finger protein 649,False,"r(HGNC:""ZNF649"")",ZNF649,ZNF649,,1564X8126
2842,Rna,MGI,10090.0,,False,"r(MGI:""Polk"")",Polk,Polk,,
2843,Rna,HGNC,9606.0,phosphoinositide-3-kinase regulatory subunit 4,False,"r(HGNC:""PIK3R4"")",PIK3R4,PIK3R4,,1566X7011
2844,Rna,HGNC,9606.0,insulin like growth factor binding protein 3,False,"r(HGNC:""IGFBP3"")",IGFBP3,IGFBP3,,1576X6200
2845,Rna,MGI,10090.0,,False,"r(MGI:""Zfp108"")",Zfp108,Zfp108,,
2846,Rna,HGNC,9606.0,baculoviral IAP repeat containing 2,False,"r(HGNC:""BIRC2"")",BIRC2,BIRC2,,1561X5564
2847,Rna,RGD,10116.0,,False,"r(RGD:""Cd44"")",Cd44,Cd44,,
2848,Rna,MGI,10090.0,,,"r(MGI:""Cbr3"",loc(MESHA:""Microglia""))",Cbr3,Cbr3,,
2849,Rna,HGNC,9606.0,basic leucine zipper ATF-like transcription factor 2,False,"r(HGNC:""BATF2"")",BATF2,BATF2,,1568X5552
2850,Rna,HGNC,9606.0,ectonucleoside triphosphate diphosphohydrolase 8,False,"r(HGNC:""ENTPD8"")",ENTPD8,ENTPD8,,1562X5912
2851,Rna,HGNC,9606.0,zinc finger protein 555,False,"r(HGNC:""ZNF555"")",ZNF555,ZNF555,,1565X8120
2852,Rna,RGD,10116.0,,False,"r(RGD:""Mir21"")",Mir21,Mir21,,
2853,Rna,RGD,10116.0,,False,"r(RGD:""Fgf1"")",Fgf1,Fgf1,,
2854,Rna,MGI,10090.0,,False,"r(MGI:""Zfp473"")",Zfp473,Zfp473,,
2855,Rna,MGI,10090.0,,,"r(MGI:""Il1b"",loc(MESHA:""Microglia""))",Il1b,Il1b,,
2856,Rna,HGNC,9606.0,zinc finger protein 680,False,"r(HGNC:""ZNF680"")",ZNF680,ZNF680,,1562X8128
2857,Rna,HGNC,9606.0,ras homolog family member G,False,"r(HGNC:""RHOG"")",RHOG,RHOG,,1565X7178
2858,Rna,HGNC,9606.0,heat shock protein family A (Hsp70) member 6,False,"r(HGNC:""HSPA6"")",HSPA6,HSPA6,,1575X6179
2859,Rna,MGI,10090.0,,False,"r(MGI:""Tek"")",Tek,Tek,,
2860,Rna,MGI,10090.0,,False,"r(MGI:""Cldn24"")",Cldn24,Cldn24,,
2861,Rna,RGD,10116.0,,False,"r(RGD:""Birc7"")",Birc7,Birc7,,
2862,Rna,MGI,10090.0,,False,"r(MGI:""Zfp141"")",Zfp141,Zfp141,,
2863,Rna,HGNC,9606.0,endothelin 1,False,"r(HGNC:""EDN1"")",EDN1,EDN1,,1562X5876
2864,Rna,HGNC,9606.0,lactate dehydrogenase A like 6A,False,"r(HGNC:""LDHAL6A"")",LDHAL6A,LDHAL6A,,1570X6334
2865,Rna,RGD,10116.0,,False,"r(RGD:""Cd86"")",Cd86,Cd86,,
2866,Rna,MGI,10090.0,,False,"r(MGI:""Zfp275"")",Zfp275,Zfp275,,
2867,Rna,MGI,10090.0,,False,"r(MGI:""Mx2"")",Mx2,Mx2,,
2868,Rna,MGI,10090.0,,,"r(MGI:""Vegfa"",loc(MESHA:""Microglia""))",Vegfa,Vegfa,,
2869,Rna,RGD,10116.0,,False,"r(RGD:""Slco1b2"")",Slco1b2,Slco1b2,,
2870,Rna,RGD,10116.0,,False,"r(RGD:""RGD1562107"")",RGD1562107,RGD1562107,,
2871,Rna,MGI,10090.0,,False,"r(MGI:""Pitx2"")",Pitx2,Pitx2,,
2872,Rna,RGD,10116.0,,False,"r(RGD:""Zfp879"")",Zfp879,Zfp879,,
2873,Rna,MGI,10090.0,,False,"r(MGI:""Hey2"")",Hey2,Hey2,,
2874,Rna,HGNC,9606.0,CD86 molecule,False,"r(HGNC:""CD86"")",CD86,CD86,,1573X5657
2875,Rna,HGNC,9606.0,zinc finger protein 286A,False,"r(HGNC:""ZNF286A"")",ZNF286A,ZNF286A,,1566X8108
2876,Rna,RGD,10116.0,,False,"r(RGD:""Cldn11"")",Cldn11,Cldn11,,
2877,Rna,RGD,10116.0,,False,"r(RGD:""Acox1"")",Acox1,Acox1,,
2878,Rna,RGD,10116.0,,False,"r(RGD:""Dusp6"")",Dusp6,Dusp6,,
2879,Rna,RGD,10116.0,,False,"r(RGD:""Mgst2"")",Mgst2,Mgst2,,
2880,Rna,MGI,10090.0,,,"r(MGI:""Tgfbr1"",loc(MESHA:""Microglia""))",Tgfbr1,Tgfbr1,,
2881,Rna,HGNC,9606.0,zinc finger protein 256,False,"r(HGNC:""ZNF256"")",ZNF256,ZNF256,,1571X8105
2882,Rna,HGNC,9606.0,cholinergic receptor nicotinic alpha 3 subunit,False,"r(HGNC:""CHRNA3"")",CHRNA3,CHRNA3,,1563X5704
2883,Rna,MGI,10090.0,,False,"r(MGI:""Fcer2a"")",Fcer2a,Fcer2a,,
2884,Rna,MGI,10090.0,,False,"r(MGI:""Nfkbia"")",Nfkbia,Nfkbia,,
2885,Rna,HGNC,9606.0,nuclear respiratory factor 1,False,"r(HGNC:""NRF1"")",NRF1,NRF1,,1568X6858
2886,Rna,HGNC,9606.0,leucyl and cystinyl aminopeptidase,False,"r(HGNC:""LNPEP"")",LNPEP,LNPEP,,1566X6500
2887,Rna,RGD,10116.0,,False,"r(RGD:""Zfp558"")",Zfp558,Zfp558,,
2888,Rna,MGI,10090.0,,False,"r(MGI:""Lhcgr"")",Lhcgr,Lhcgr,,
2889,Rna,HGNC,9606.0,integrin subunit alpha M,False,"r(HGNC:""ITGAM"")",ITGAM,ITGAM,,1567X6258
2890,Rna,HGNC,9606.0,C-X-C motif chemokine ligand 8,False,"r(HGNC:""CXCL8"")",CXCL8,CXCL8,,1565X5780
2891,Rna,HGNC,9606.0,zinc finger protein 675,False,"r(HGNC:""ZNF675"")",ZNF675,ZNF675,,1573X8126
2892,Rna,RGD,10116.0,,False,"r(RGD:""Plat"")",Plat,Plat,,
2893,Rna,RGD,10116.0,,False,"r(RGD:""Pdpk1"")",Pdpk1,Pdpk1,,
2894,Rna,HGNC,9606.0,transforming growth factor beta 3,False,"r(HGNC:""TGFB3"")",TGFB3,TGFB3,,1572X7826
2895,Rna,MGI,10090.0,,,"r(MGI:""Spata13"",loc(MESHA:""Microglia""))",Spata13,Spata13,,
2896,Rna,HGNC,9606.0,zinc finger protein 813,False,"r(HGNC:""ZNF813"")",ZNF813,ZNF813,,1571X8134
2897,Rna,NCBIGENE,,,False,"r(NCBIGENE:""2350"")",2350,2350,,
2898,Rna,RGD,10116.0,,False,"r(RGD:""Ifna2"")",Ifna2,Ifna2,,
2899,Rna,MGI,10090.0,,False,"r(MGI:""Cop1"")",Cop1,Cop1,,
2900,Rna,HGNC,9606.0,spalt like transcription factor 1,,"r(HGNC:""SALL1"",loc(MESHA:""Microglia""))",SALL1,SALL1,,1567X7566
2901,Rna,RGD,10116.0,,False,"r(RGD:""Rag2"")",Rag2,Rag2,,
2902,Rna,HGNC,9606.0,patatin like phospholipase domain containing 2,False,"r(HGNC:""PNPLA2"")",PNPLA2,PNPLA2,,1571X7041
2903,Rna,RGD,10116.0,,False,"r(RGD:""Zfp84"")",Zfp84,Zfp84,,
2904,Rna,MGI,10090.0,,False,"r(MGI:""Zfp69"")",Zfp69,Zfp69,,
2905,Rna,RGD,10116.0,,False,"r(RGD:""Fabp3"")",Fabp3,Fabp3,,
2906,Rna,MGI,10090.0,,,"r(MGI:""Dst"",loc(MESHA:""Microglia""))",Dst,Dst,,
2907,Rna,MGI,10090.0,,False,"r(MGI:""Txn1"")",Txn1,Txn1,,
2908,Rna,HGNC,9606.0,nuclear receptor subfamily 5 group A member 2,False,"r(HGNC:""NR5A2"")",NR5A2,NR5A2,,1575X6855
2909,Rna,RGD,10116.0,,False,"r(RGD:""Gsta5"")",Gsta5,Gsta5,,
2910,Rna,MGI,10090.0,,False,"r(MGI:""Pla2g4f"")",Pla2g4f,Pla2g4f,,
2911,Rna,RGD,10116.0,,False,"r(RGD:""Steap3"")",Steap3,Steap3,,
2912,Rna,RGD,10116.0,,False,"r(RGD:""Cldn10"")",Cldn10,Cldn10,,
2913,Rna,HGNC,9606.0,heat shock protein family A (Hsp70) member 5,False,"r(HGNC:""HSPA5"")",HSPA5,HSPA5,,1572X6179
2914,Rna,HGNC,9606.0,zinc finger protein 853,False,"r(HGNC:""ZNF853"")",ZNF853,ZNF853,,1569X8136
2915,Rna,HGNC,9606.0,ETS transcription factor ELK1,False,"r(HGNC:""ELK1"")",ELK1,ELK1,,1569X5898
2916,Rna,RGD,10116.0,,False,"r(RGD:""Batf"")",Batf,Batf,,
2917,Rna,HGNC,9606.0,protein S,False,"r(HGNC:""PROS1"")",PROS1,PROS1,,1575X7088
2918,Rna,RGD,10116.0,,False,"r(RGD:""Bid"")",Bid,Bid,,
2919,Rna,RGD,10116.0,,False,"r(RGD:""Cldn3"")",Cldn3,Cldn3,,
2920,Rna,HGNC,9606.0,pancreatic and duodenal homeobox 1,False,"r(HGNC:""PDX1"")",PDX1,PDX1,,1572X6984
2921,Rna,RGD,10116.0,,False,"r(RGD:""Ifna4"")",Ifna4,Ifna4,,
2922,Rna,HGNC,9606.0,claudin 20,False,"r(HGNC:""CLDN20"")",CLDN20,CLDN20,,1572X5715
2923,Rna,RGD,10116.0,,False,"r(RGD:""Wnt8a"")",Wnt8a,Wnt8a,,
2924,Rna,MGI,10090.0,,False,"r(MGI:""Cxcl9"")",Cxcl9,Cxcl9,,
2925,Rna,HGNC,9606.0,"KRAS proto-oncogene, GTPase",False,"r(HGNC:""KRAS"")",KRAS,KRAS,,1565X6302
2926,Rna,MGI,10090.0,,False,"r(MGI:""Plin1"")",Plin1,Plin1,,
2927,Rna,HGNC,9606.0,triggering receptor expressed on myeloid cells 2,,"r(HGNC:""TREM2"",var(""?""))",TREM2,TREM2,,1573X7915
2928,Rna,HGNC,9606.0,"RAP1A, member of RAS oncogene family",False,"r(HGNC:""RAP1A"")",RAP1A,RAP1A,,1572X7142
2929,Rna,RGD,10116.0,,False,"r(RGD:""Fcgr1a"")",Fcgr1a,Fcgr1a,,
2930,Rna,HGNC,9606.0,zinc finger protein 605,False,"r(HGNC:""ZNF605"")",ZNF605,ZNF605,,1575X8122
2931,Rna,HGNC,9606.0,regulator of G protein signaling 1,False,"r(HGNC:""RGS1"")",RGS1,RGS1,,1571X7173
2932,Rna,HGNC,9606.0,"plasminogen activator, urokinase",False,"r(HGNC:""PLAU"")",PLAU,PLAU,,1562X7029
2933,Rna,HGNC,9606.0,zinc finger protein 528,False,"r(HGNC:""ZNF528"")",ZNF528,ZNF528,,1576X8116
2934,Rna,RGD,10116.0,,False,"r(RGD:""Bnip3l"")",Bnip3l,Bnip3l,,
2935,Rna,RGD,10116.0,,False,"r(RGD:""Batf2"")",Batf2,Batf2,,
2936,Rna,RGD,10116.0,,False,"r(RGD:""Tbx21"")",Tbx21,Tbx21,,
2937,Rna,HGNC,9606.0,C-C motif chemokine ligand 2,,"r(HGNC:""CCL2"",loc(MESHA:""Microglia""))",CCL2,CCL2,,1565X5645
2938,Rna,HGNC,9606.0,cathepsin D,False,"r(HGNC:""CTSD"")",CTSD,CTSD,,1570X5774
2939,Rna,RGD,10116.0,,False,"r(RGD:""Tyr"")",Tyr,Tyr,,
2940,Rna,MGI,10090.0,,False,"r(MGI:""Zfp715"")",Zfp715,Zfp715,,
2941,Rna,RGD,10116.0,,False,"r(RGD:""Notch3"")",Notch3,Notch3,,
2942,Rna,HGNC,9606.0,tyrosinase,False,"r(HGNC:""TYR"")",TYR,TYR,,1566X7988
2943,Rna,HGNC,9606.0,apolipoprotein B mRNA editing enzyme catalytic subunit 3D,False,"r(HGNC:""APOBEC3D"")",APOBEC3D,APOBEC3D,,1575X5493
2944,Rna,MGI,10090.0,,False,"r(MGI:""Gstm1"")",Gstm1,Gstm1,,
2945,Rna,RGD,10116.0,,False,"r(RGD:""Zfp94"")",Zfp94,Zfp94,,
2946,Rna,RGD,10116.0,,False,"r(RGD:""Mmp13"")",Mmp13,Mmp13,,
2947,Rna,MGI,10090.0,,False,"r(MGI:""Gstm3"")",Gstm3,Gstm3,,
2948,Rna,MGI,10090.0,,,"r(MGI:""Il10"",loc(MESHA:""Spinal Cord""))",Il10,Il10,,
2949,Rna,MGI,10090.0,,False,"r(MGI:""Bcl2a1c"")",Bcl2a1c,Bcl2a1c,,
2950,Rna,HGNC,9606.0,aldehyde dehydrogenase 1 family member L1,False,"r(HGNC:""ALDH1L1"")",ALDH1L1,ALDH1L1,,1576X5462
2951,Rna,HGNC,9606.0,zinc finger protein 283,False,"r(HGNC:""ZNF283"")",ZNF283,ZNF283,,1576X8105
2952,Rna,HGNC,9606.0,BORCS8-MEF2B readthrough,False,"r(HGNC:""BORCS8-MEF2B"")",BORCS8-MEF2B,BORCS8-MEF2B,,1567X5575
2953,Rna,HGNC,9606.0,NK6 homeobox 1,False,"r(HGNC:""NKX6-1"")",NKX6-1,NKX6-1,,1565X6834
2954,Rna,RGD,10116.0,,False,"r(RGD:""Gstt4"")",Gstt4,Gstt4,,
2955,Rna,RGD,10116.0,,False,"r(RGD:""Mdm2"")",Mdm2,Mdm2,,
2956,Rna,RGD,10116.0,,False,"r(RGD:""Cldn4"")",Cldn4,Cldn4,,
2957,Rna,HGNC,9606.0,heat shock protein 90 beta family member 1,False,"r(HGNC:""HSP90B1"")",HSP90B1,HSP90B1,,1562X6180
2958,Rna,RGD,10116.0,,False,"r(RGD:""Myh6"")",Myh6,Myh6,,
2959,Rna,HGNC,9606.0,regulator of G protein signaling 2,False,"r(HGNC:""RGS2"")",RGS2,RGS2,,1572X7173
2960,Rna,HGNC,9606.0,radixin,False,"r(HGNC:""RDX"")",RDX,RDX,,1575X7163
2961,Rna,RGD,10116.0,,False,"r(RGD:""Egr1"")",Egr1,Egr1,,
2962,Rna,HGNC,9606.0,glutathione S-transferase theta 1,False,"r(HGNC:""GSTT1"")",GSTT1,GSTT1,,1576X6093
2963,Rna,HGNC,9606.0,FERM domain containing kindlin 2,False,"r(HGNC:""FERMT2"")",FERMT2,FERMT2,,1574X5981
2964,Rna,FLYBASE,7227.0,,False,"r(FLYBASE:""hkb"")",hkb,hkb,,
2965,Rna,MGI,10090.0,,False,"r(MGI:""Zfp735"")",Zfp735,Zfp735,,
