:ID,:LABEL,namespace:string,species:float,involved_other:string,default:string,bel:string,name:string,involved_genes:string
30,Activity,,10116.0,,,"act(p(RGD:""Ar""))",,Ar
31,Activity,,,autophagosome,,"act(a(GO:""autophagosome""))",,
32,Activity,,10116.0,,cat,"act(p(RGD:""St6galnac4""),ma(cat))",,St6galnac4
33,Activity,,9606.0,,cat,"act(p(HGNC:""MIOX""),ma(cat))",,MIOX
34,Activity,,10116.0,,,"act(p(RGD:""Plk1""))",,Plk1
35,Activity,,9606.0,,cat,"act(p(HGNC:""MGLL""),ma(cat))",,MGLL
36,Activity,,10090.0,,,"act(p(MGI:""Dapk1""))",,Dapk1
37,Activity,,10090.0,,,"act(p(MGI:""Cdc42""))",,Cdc42
38,Activity,,9606.0,,,"act(p(HGNC:""ZDHHC17""))",,ZDHHC17
39,Activity,,10116.0,,cat,"act(p(RGD:""Fads2""),ma(cat))",,Fads2
40,Activity,,9606.0,,,"act(p(HGNC:""MAP3K6""))",,MAP3K6
41,Activity,,10090.0,,,"act(p(MGI:""Mitf""))",,Mitf
42,Activity,,9606.0,,,"act(p(HGNC:""TNNI3""))",,TNNI3
43,Activity,,10090.0,,,"act(p(MGI:""Nrbf2""))",,Nrbf2
44,Activity,,9606.0,,,"act(complex(p(HGNC:""GSK3B""),p(HGNC:""PPP2CA"")))",,PPP2CA;GSK3B
45,Activity,,10116.0,,,"act(complex(p(RGD:""Arrb2""),composite(p(RGD:""LOC103694903""),p(RGD:""Ppp2ca""),p(RGD:""Ppp2cb""),p(RGD:""Ppp2r1a""),p(RGD:""Ppp2r1b""),p(RGD:""Ppp2r2a""),p(RGD:""Ppp2r2b""),p(RGD:""Ppp2r2c""),p(RGD:""Ppp2r2d""),p(RGD:""Ppp2r3a""),p(RGD:""Ppp2r3b""),p(RGD:""Ppp2r3c""),p(RGD:""Ppp2r5a""),p(RGD:""Ppp2r5b""),p(RGD:""Ppp2r5c""),p(RGD:""Ppp2r5d""),p(RGD:""Ppp2r5e""))))",,Ppp2cb;Ppp2ca;LOC103694903;Ppp2r2a;Ppp2r3b;Ppp2r5d;Ppp2r3a;Ppp2r5c;Ppp2r5b;Ppp2r5a;Ppp2r2d;Ppp2r1b;Ppp2r2c;Ppp2r1a;Ppp2r2b;Ppp2r3c;Ppp2r5e;Arrb2
46,Activity,,9606.0,,,"act(p(HGNC:""SLC2A9""))",,SLC2A9
47,Activity,,10090.0,,,"act(complex(p(MGI:""Erbb4""),p(MGI:""Erbb4"")))",,Erbb4
48,Activity,,9606.0,,,"act(p(HGNC:""TNFRSF18""))",,TNFRSF18
49,Activity,,10116.0,,cat,"act(p(RGD:""Grhpr""),ma(cat))",,Grhpr
50,Activity,,7227.0,,,"act(p(FLYBASE:""CG10189""))",,CG10189
51,Activity,,9606.0,,,"act(p(HGNC:""HDAC3""))",,HDAC3
52,Activity,,9606.0,,,"act(p(HGNC:""GCG""))",,GCG
53,Activity,,10090.0,,,"act(p(MGI:""Ptk2b""))",,Ptk2b
54,Activity,,,Respiratory Muscles,,"act(a(MESH:""Respiratory Muscles""))",,
55,Activity,,10116.0,,cat,"act(p(RGD:""St6galnac6""),ma(cat))",,St6galnac6
56,Activity,,9606.0,,cat,"act(p(HGNC:""AK3""),ma(cat))",,AK3
57,Activity,,10116.0,,,"act(p(RGD:""Arhgef12""))",,Arhgef12
58,Activity,,7227.0,,cat,"act(p(FLYBASE:""Hn""),ma(cat))",,Hn
59,Activity,,10116.0,,,"act(p(RGD:""Mapk13""))",,Mapk13
60,Activity,,10090.0,,,"act(p(MGI:""Il6ra""))",,Il6ra
61,Activity,,,transcription factor AP-1 complex,,"act(complex(GO:""transcription factor AP-1 complex""))",,
62,Activity,,10116.0,,cat,"act(p(RGD:""Mthfr""),ma(cat))",,Mthfr
63,Activity,,9606.0,,,"act(p(HGNC:""TRPA1""))",,TRPA1
64,Activity,,10116.0,,,"act(p(RGD:""Kcnj1""))",,Kcnj1
65,Activity,,9606.0,,cat,"act(p(HGNC:""LIPT1""),ma(cat))",,LIPT1
66,Activity,,10090.0,,,"act(p(MGI:""Hspb2""))",,Hspb2
67,Activity,,9606.0,,,"act(complex(p(HGNC:""MAP3K7""),p(HGNC:""TAB2"")))",,TAB2;MAP3K7
68,Activity,,9606.0,,,"act(p(HGNC:""INS""))",,INS
69,Activity,,10090.0,,,"act(p(MGI:""Smad3""))",,Smad3
70,Activity,,10090.0,,cat,"act(p(MGI:""Tsta3""),ma(cat))",,Tsta3
71,Activity,,9606.0,,,"act(complex(p(HGNC:""IL18R1""),p(HGNC:""IL18RAP"")))",,IL18RAP;IL18R1
72,Activity,,10116.0,,,"act(p(RGD:""Mad1l1""))",,Mad1l1
73,Activity,,9606.0,,cat,"act(p(HGNC:""AUH""),ma(cat))",,AUH
74,Activity,,10090.0,,,"act(complex(p(MGI:""Tas1r2""),p(MGI:""Tas1r3"")))",,Tas1r2;Tas1r3
75,Activity,GO,,promethazine;serotonin receptor activity,,"act(a(CHEBI:""promethazine""),ma(GO:""serotonin receptor activity""))",serotonin receptor activity,
76,Activity,,10090.0,,,"act(p(MGI:""Rin1""))",,Rin1
77,Activity,GO,,protease binding,,"act(p(CONSO:""TDP-43 aggregates""),ma(GO:""protease binding""))",protease binding,TDP-43 aggregates
78,Activity,,10116.0,,,"act(p(RGD:""Prkcb""))",,Prkcb
79,Activity,,9606.0,,cat,"act(p(HGNC:""B3GAT3""),ma(cat))",,B3GAT3
80,Activity,,10116.0,,,"act(p(RGD:""Fgf2""))",,Fgf2
81,Activity,,7227.0,,cat,"act(p(FLYBASE:""mal""),ma(cat))",,mal
82,Activity,,10116.0,,,"act(p(RGD:""Mapk14""))",,Mapk14
83,Activity,,10090.0,,,"act(p(MGI:""Ccl5""))",,Ccl5
84,Activity,,9606.0,,kin,"act(p(HGNC:""MARK1""),ma(kin))",,MARK1
85,Activity,,10116.0,,,"act(p(RGD:""Plin1""))",,Plin1
86,Activity,,7227.0,,cat,"act(p(FLYBASE:""FucTA""),ma(cat))",,FucTA
87,Activity,,10090.0,,,"act(p(MGI:""Ptprm""))",,Ptprm
88,Activity,,9606.0,,,"act(complex(p(HGNC:""CTNNB1""),composite(p(HGNC:""CSNK1A1""),p(HGNC:""CSNK1A1L""))))",,CSNK1A1;CTNNB1;CSNK1A1L
89,Activity,,10116.0,,,"act(p(RGD:""Nploc4""))",,Nploc4
90,Activity,,9606.0,,cat,"act(p(HGNC:""ETNPPL""),ma(cat))",,ETNPPL
91,Activity,,9606.0,,,"act(p(HGNC:""ADAM10""))",,ADAM10
92,Activity,,10116.0,,,"act(complex(composite(p(RGD:""Ctbp1""),p(RGD:""Ctbp2"")),composite(p(RGD:""Hdac1""),p(RGD:""Hdac1l""),p(RGD:""Hdac2""))))",,Hdac2;Hdac1l;Ctbp1;Ctbp2;Hdac1
93,Activity,,9606.0,,,"act(complex(p(HGNC:""CHRNA7""),p(HGNC:""CHRNA7""),p(HGNC:""CHRNA7""),p(HGNC:""CHRNA7""),p(HGNC:""CHRNA7"")))",,CHRNA7
94,Activity,,10116.0,,,"act(p(RGD:""Exoc2""))",,Exoc2
95,Activity,,9606.0,,cat,"act(p(HGNC:""DLAT""),ma(cat))",,DLAT
96,Activity,,10116.0,,,"act(p(RGD:""Nudt16l1""))",,Nudt16l1
97,Activity,,7227.0,,cat,"act(p(FLYBASE:""Ipk1""),ma(cat))",,Ipk1
98,Activity,,,,,"act(p(FPLX:""CSNK2""))",,CSNK2
99,Activity,,10090.0,,,"act(p(MGI:""Eif2ak3""))",,Eif2ak3
100,Activity,,9606.0,,,"act(p(HGNC:""ITPR1""))",,ITPR1
101,Activity,,10116.0,,,"act(p(RGD:""Ticam2""))",,Ticam2
102,Activity,,9606.0,,,"act(p(HGNC:""MAP4K4""))",,MAP4K4
103,Activity,,10090.0,,cat,"act(p(MGI:""Hmgcr""),ma(cat))",,Hmgcr
104,Activity,,9606.0,,,"act(complex(p(HGNC:""MLH1""),p(HGNC:""PMS2"")))",,PMS2;MLH1
105,Activity,,10090.0,,,"act(complex(p(MGI:""Vasp""),p(MGI:""Was"")))",,Vasp;Was
106,Activity,,9606.0,,,"act(p(HGNC:""BIRC2""))",,BIRC2
107,Activity,,10090.0,,cat,"act(p(MGI:""Sts""),ma(cat))",,Sts
108,Activity,,,,,"act(p(CONSO:""20 S Proteasome""))",,20 S Proteasome
109,Activity,,10116.0,,cat,"act(p(RGD:""Tsta3""),ma(cat))",,Tsta3
110,Activity,,9606.0,,cat,"act(p(HGNC:""CRPPA""),ma(cat))",,CRPPA
111,Activity,,10090.0,,cat,"act(p(MGI:""Aldh4a1""),ma(cat))",,Aldh4a1
112,Activity,,7227.0,,cat,"act(p(FLYBASE:""Alg11""),ma(cat))",,Alg11
113,Activity,,10090.0,,,"act(complex(p(MGI:""Cyba""),p(MGI:""Cybb""),p(MGI:""Ncf1""),p(MGI:""Ncf2""),p(MGI:""Ncf4"")))",,Ncf1;Cyba;Ncf2;Cybb;Ncf4
114,Activity,,10116.0,,,"act(p(RGD:""Trim71""))",,Trim71
115,Activity,,9606.0,,cat,"act(p(HGNC:""APP""),ma(cat))",,APP
116,Activity,,10090.0,,,"act(p(MGI:""Ccnd1""))",,Ccnd1
117,Activity,,9606.0,,cat,"act(p(HGNC:""DCTPP1""),ma(cat))",,DCTPP1
118,Activity,,9606.0,,cat,"act(p(HGNC:""PGD""),ma(cat))",,PGD
119,Activity,,10116.0,,,"act(p(RGD:""Mos""))",,Mos
120,Activity,,9606.0,,cat,"act(p(HGNC:""OAT""),ma(cat))",,OAT
121,Activity,,9606.0,,,"act(p(HGNC:""IL1B""))",,IL1B
122,Activity,,10090.0,,,"act(p(MGI:""Ptgs2""))",,Ptgs2
123,Activity,,10116.0,,,"act(p(RGD:""Nodal""))",,Nodal
124,Activity,,9606.0,,cat,"act(p(HGNC:""NAMPT""),ma(cat))",,NAMPT
125,Activity,,10090.0,,cat,"act(p(MGI:""Dpagt1""),ma(cat))",,Dpagt1
126,Activity,,7227.0,,,"act(p(FLYBASE:""cact""))",,cact
127,Activity,,10116.0,,,"act(p(RGD:""Plg""))",,Plg
128,Activity,,10116.0,,,"act(p(RGD:""Tpm1""))",,Tpm1
129,Activity,,9606.0,,,"act(p(HGNC:""MMEL1""))",,MMEL1
130,Activity,,10116.0,,cat,"act(p(RGD:""A4galt""),ma(cat))",,A4galt
131,Activity,,,Hsp90 inhibitor,,"act(a(CHEBI:""Hsp90 inhibitor""))",,
132,Activity,,10090.0,,,"act(p(MGI:""Ppp1r1b""))",,Ppp1r1b
133,Activity,,9606.0,,,"act(p(HGNC:""CD27""))",,CD27
134,Activity,,9606.0,,cat,"act(p(HGNC:""AACS""),ma(cat))",,AACS
135,Activity,,,,,"act(p(FPLX:""CAPN""))",,CAPN
136,Activity,,10090.0,,,"act(p(MGI:""Xbp1""))",,Xbp1
137,Activity,,,,,"act(p(MESH:""Proteins""))",,Proteins
138,Activity,,10116.0,,,"act(p(RGD:""Mlkl""))",,Mlkl
139,Activity,,9606.0,,,"act(p(HGNC:""PPM1A""))",,PPM1A
140,Activity,,10090.0,,cat,"act(p(MGI:""Zmpste24""),ma(cat))",,Zmpste24
141,Activity,,9606.0,,,"act(p(HGNC:""CASP10""))",,CASP10
142,Activity,,10090.0,,,"act(p(MGI:""Rb1cc1""))",,Rb1cc1
143,Activity,,9606.0,,cat,"act(p(HGNC:""L2HGDH""),ma(cat))",,L2HGDH
144,Activity,,9606.0,,,"act(p(HGNC:""RAF1""))",,RAF1
145,Activity,,10116.0,,,"act(p(RGD:""Adcy5""))",,Adcy5
146,Activity,,10116.0,,cat,"act(p(RGD:""Hsd17b12""),ma(cat))",,Hsd17b12
147,Activity,,9606.0,,,"act(p(HGNC:""EDAR""))",,EDAR
148,Activity,,10116.0,,,"act(complex(composite(p(RGD:""Ccnd1""),p(RGD:""Ccnd2""),p(RGD:""Ccnd3""),p(RGD:""Ccne1""),p(RGD:""Ccne2"")),composite(p(RGD:""Cdk2""),p(RGD:""Cdk4""),p(RGD:""Cdk6""))))",,Ccnd2;Ccnd3;Cdk6;Ccne1;Ccnd1;Ccne2;Cdk4;Cdk2
149,Activity,,9606.0,,,"act(p(HGNC:""SLC12A2""))",,SLC12A2
150,Activity,,10090.0,,,"act(p(MGI:""Pde5a""))",,Pde5a
151,Activity,,,,,"act(p(MESH:""Caspases""))",,Caspases
152,Activity,,10090.0,,,"act(p(MGI:""Kcnma1""))",,Kcnma1
153,Activity,,7227.0,,cat,"act(p(FLYBASE:""CG2767""),ma(cat))",,CG2767
154,Activity,,10116.0,,cat,"act(p(RGD:""Srd5a3""),ma(cat))",,Srd5a3
155,Activity,,7227.0,,cat,"act(p(FLYBASE:""Adi1""),ma(cat))",,Adi1
156,Activity,,10090.0,,cat,"act(p(MGI:""St3gal5""),ma(cat))",,St3gal5
157,Activity,,9606.0,,cat,"act(p(HGNC:""MOCS1""),ma(cat))",,MOCS1
158,Activity,,9606.0,,,"act(p(HGNC:""ADRA2B""))",,ADRA2B
159,Activity,,10090.0,,,"act(p(MGI:""Myl9""))",,Myl9
160,Activity,,10090.0,,,"act(p(MGI:""Ifng""))",,Ifng
161,Activity,,10090.0,,,"act(p(MGI:""Nefm""))",,Nefm
162,Activity,,9606.0,,,"act(complex(p(HGNC:""IL2RG""),p(HGNC:""IL7R"")))",,IL2RG;IL7R
163,Activity,,10090.0,,cat,"act(p(MGI:""Adprm""),ma(cat))",,Adprm
164,Activity,,9606.0,,,"act(p(HGNC:""HMGA2""))",,HMGA2
165,Activity,,10090.0,,,"act(p(MGI:""Casp7"",loc(MESHA:""Macrophages"")))",,Casp7
166,Activity,,10116.0,,,"act(p(RGD:""Tnfrsf14""))",,Tnfrsf14
167,Activity,,,IPAF inflammasome complex,,"act(complex(GO:""IPAF inflammasome complex""))",,
168,Activity,,10116.0,,cat,"act(p(RGD:""Qdpr""),ma(cat))",,Qdpr
169,Activity,,9606.0,,,"act(p(HGNC:""SMAD4""))",,SMAD4
170,Activity,,10116.0,,,"act(complex(p(RGD:""Erbb3""),p(RGD:""Erbb3"")))",,Erbb3
171,Activity,,9606.0,,,"act(p(HGNC:""SH2D2A""))",,SH2D2A
172,Activity,,10090.0,,cat,"act(p(MGI:""Pik3c3""),ma(cat))",,Pik3c3
173,Activity,,9606.0,,,"act(p(HGNC:""RYK""))",,RYK
174,Activity,,9606.0,,,"act(p(HGNC:""HTR1A""))",,HTR1A
175,Activity,,10116.0,,,"act(p(RGD:""Plcg2""))",,Plcg2
176,Activity,,9606.0,,,"act(p(HGNC:""FLT1""))",,FLT1
177,Activity,,10116.0,,cat,"act(p(RGD:""Acaca""),ma(cat))",,Acaca
178,Activity,,9606.0,,,"act(p(HGNC:""TNFRSF10D""))",,TNFRSF10D
179,Activity,,10090.0,,,"act(p(MGI:""Vcam1""))",,Vcam1
180,Activity,,9606.0,,,"act(p(HGNC:""PDGFB""))",,PDGFB
181,Activity,,9606.0,,,"act(p(HGNC:""CTNNB1""))",,CTNNB1
182,Activity,,,interstitial fluid,,"act(a(HP:""interstitial fluid""))",,
183,Activity,,10116.0,,,"act(complex(p(RGD:""Rara""),composite(p(RGD:""Rxra""),p(RGD:""Rxrb""),p(RGD:""Rxrg""))))",,Rxrb;Rxra;Rara;Rxrg
184,Activity,,7227.0,,cat,"act(p(FLYBASE:""SCOT""),ma(cat))",,SCOT
185,Activity,,10116.0,,cat,"act(p(RGD:""Dbh""),ma(cat))",,Dbh
186,Activity,,9606.0,,,"act(p(HGNC:""ACOT2""))",,ACOT2
187,Activity,,10090.0,,,"act(complex(p(MGI:""Ar""),composite(p(MGI:""Hsp90aa1""),p(MGI:""Hsp90ab1""),p(MGI:""Hsp90b1""))))",,Ar;Hsp90b1;Hsp90ab1;Hsp90aa1
188,Activity,,7227.0,,cat,"act(p(FLYBASE:""dib""),ma(cat))",,dib
189,Activity,,9606.0,,,"act(complex(p(HGNC:""NFKB1""),p(HGNC:""NFKB2"")))",,NFKB1;NFKB2
190,Activity,,10116.0,,cat,"act(p(RGD:""Hsd17b10""),ma(cat))",,Hsd17b10
191,Activity,,9606.0,,,"act(p(HGNC:""PPIA""))",,PPIA
192,Activity,,10090.0,,cat,"act(p(MGI:""Akr1a1""),ma(cat))",,Akr1a1
193,Activity,,,1-phosphatidyl-1D-myo-inositol,,"act(a(CHEBI:""1-phosphatidyl-1D-myo-inositol""))",,
194,Activity,,10116.0,,,"act(p(RGD:""Lrp1""))",,Lrp1
195,Activity,,9606.0,,,"act(p(HGNC:""MDM4""))",,MDM4
196,Activity,,9606.0,,kin,"act(p(HGNC:""GSK3A""),ma(kin))",,GSK3A
197,Activity,,10116.0,,,"act(p(RGD:""Ccr2""))",,Ccr2
198,Activity,,9606.0,,,"act(p(HGNC:""DNM1L""))",,DNM1L
199,Activity,,10090.0,,,"act(complex(p(MGI:""Itgav""),p(MGI:""Itgb6"")))",,Itgb6;Itgav
200,Activity,,9606.0,,cat,"act(p(HGNC:""INMT""),ma(cat))",,INMT
201,Activity,,10116.0,,cat,"act(p(RGD:""Mmab""),ma(cat))",,Mmab
202,Activity,,9606.0,,cat,"act(p(HGNC:""HGSNAT""),ma(cat))",,HGSNAT
203,Activity,,10090.0,,cat,"act(p(MGI:""Cerk""),ma(cat))",,Cerk
204,Activity,,9606.0,,,"act(complex(p(HGNC:""CUL3""),composite(p(HGNC:""SPOP""),p(HGNC:""SPOPL""))))",,CUL3;SPOP;SPOPL
205,Activity,,10090.0,,,"act(p(MGI:""Prkca""))",,Prkca
206,Activity,,10090.0,,,"act(p(MGI:""Sh2d2a""))",,Sh2d2a
207,Activity,,9606.0,,tscript,"act(p(HGNC:""FOXO3""),ma(tscript))",,FOXO3
208,Activity,,10116.0,,,"act(p(RGD:""Prkg1""))",,Prkg1
209,Activity,,9606.0,,,"act(p(HGNC:""FRS2""))",,FRS2
210,Activity,,10116.0,,,"act(p(RGD:""Mlycd""))",,Mlycd
211,Activity,,9606.0,,,"act(p(HGNC:""CLIP1""))",,CLIP1
212,Activity,,9606.0,,,"act(p(HGNC:""NFKB2""))",,NFKB2
213,Activity,,10116.0,,cat,"act(p(RGD:""Ippk""),ma(cat))",,Ippk
214,Activity,,,gamma-secretase complex,,"act(complex(GO:""gamma-secretase complex""))",,
215,Activity,,10090.0,,cat,"act(p(MGI:""B3galt6""),ma(cat))",,B3galt6
216,Activity,,7227.0,,,"act(p(FLYBASE:""eIF4B""))",,eIF4B
217,Activity,,10116.0,,,"act(complex(p(RGD:""Ptk2""),composite(p(RGD:""Itga1""),p(RGD:""Itga10""),p(RGD:""Itga11""),p(RGD:""Itga2""),p(RGD:""Itga2b""),p(RGD:""Itga3""),p(RGD:""Itga4""),p(RGD:""Itga5""),p(RGD:""Itga6""),p(RGD:""Itga7""),p(RGD:""Itga8""),p(RGD:""Itga9""),p(RGD:""Itgav"")),composite(p(RGD:""Itgb1""),p(RGD:""Itgb3""),p(RGD:""Itgb4""),p(RGD:""Itgb5""),p(RGD:""Itgb6""),p(RGD:""Itgb7""),p(RGD:""Itgb8""))))",,Itga10;Itga11;Itga7;Itgb8;Itga8;Itga5;Itgb6;Itga6;Itgav;Itgb7;Ptk2;Itga9;Itga2b;Itgb1;Itga3;Itgb4;Itga4;Itgb5;Itga1;Itga2;Itgb3
218,Activity,,9606.0,,cat,"act(p(HGNC:""ASL""),ma(cat))",,ASL
219,Activity,,10090.0,,,"act(p(MGI:""Mlycd""))",,Mlycd
220,Activity,,9606.0,,,"act(p(HGNC:""NFKB1""))",,NFKB1
221,Activity,,10090.0,,,"act(p(MGI:""Ccr2""))",,Ccr2
222,Activity,,9606.0,,,"act(p(HGNC:""MITF""))",,MITF
223,Activity,,10090.0,,,"act(p(MGI:""Flt1""))",,Flt1
224,Activity,,7227.0,,cat,"act(p(FLYBASE:""Gale""),ma(cat))",,Gale
225,Activity,,10116.0,,,"act(complex(p(RGD:""Nck2""),composite(p(RGD:""LOC100910732""),p(RGD:""Pak1""),p(RGD:""Pak2""),p(RGD:""Pak3""),p(RGD:""Pak4""),p(RGD:""Pak6""),p(RGD:""Pak7""))))",,Pak1;Pak7;Nck2;Pak6;LOC100910732;Pak3;Pak2;Pak4
226,Activity,,9606.0,,cat,"act(p(HGNC:""ST3GAL3""),ma(cat))",,ST3GAL3
227,Activity,MESHPP,9606.0,Immunoreceptor Tyrosine-Based Inhibition Motif,,"act(p(HGNC:""SIGLEC10""),ma(MESHPP:""Immunoreceptor Tyrosine-Based Inhibition Motif""))",Immunoreceptor Tyrosine-Based Inhibition Motif,SIGLEC10
228,Activity,,10116.0,,,"act(p(RGD:""Mchr1""))",,Mchr1
229,Activity,,,excitatory synapse,,"act(a(GO:""excitatory synapse""))",,
230,Activity,,10116.0,,,"act(p(RGD:""Dffa""))",,Dffa
231,Activity,,7227.0,,,"act(p(FLYBASE:""Rho1""))",,Rho1
232,Activity,,10090.0,,,"act(p(MGI:""Lpl""))",,Lpl
233,Activity,,,sphingosine 1-phosphate,,"act(a(CHEBI:""sphingosine 1-phosphate""))",,
234,Activity,,10116.0,,cat,"act(p(RGD:""Nsdhl""),ma(cat))",,Nsdhl
235,Activity,,10090.0,,,"act(p(MGI:""Raf1""))",,Raf1
236,Activity,,9606.0,,kin,"act(p(HGNC:""MAPK8IP1""),ma(kin))",,MAPK8IP1
237,Activity,,10116.0,,cat,"act(p(RGD:""Asns""),ma(cat))",,Asns
238,Activity,,7227.0,,,"act(p(FLYBASE:""Miro""))",,Miro
239,Activity,,10090.0,,cat,"act(p(MGI:""Pomgnt1""),ma(cat))",,Pomgnt1
240,Activity,,9606.0,,cat,"act(p(HGNC:""ANPEP""),ma(cat))",,ANPEP
241,Activity,,10116.0,,,"act(p(RGD:""Rac2""))",,Rac2
242,Activity,,9606.0,,,"act(p(HGNC:""HTR5A""))",,HTR5A
243,Activity,,9606.0,,,"act(p(HGNC:""TLR9""))",,TLR9
244,Activity,,10116.0,,,"act(p(RGD:""Ptpn11""))",,Ptpn11
245,Activity,,,NF-kappaB p50/p65 complex,,"act(complex(GO:""NF-kappaB p50/p65 complex""))",,
246,Activity,,10116.0,,,"act(p(RGD:""Plat""))",,Plat
247,Activity,,9606.0,,cat,"act(p(HGNC:""GPLD1""),ma(cat))",,GPLD1
248,Activity,,10090.0,,,"act(complex(p(MGI:""Dcc""),p(MGI:""Dcc"")))",,Dcc
249,Activity,,9606.0,,cat,"act(p(HGNC:""HSD17B7""),ma(cat))",,HSD17B7
250,Activity,,10090.0,,cat,"act(p(MGI:""Acad8""),ma(cat))",,Acad8
251,Activity,,10116.0,,,"act(p(RGD:""Sp1""))",,Sp1
252,Activity,,9606.0,,,"act(p(HGNC:""IL1A""))",,IL1A
253,Activity,,10090.0,,cat,"act(p(MGI:""Mtr""),ma(cat))",,Mtr
254,Activity,,9606.0,,,"act(p(HGNC:""EGFR""))",,EGFR
255,Activity,,10090.0,,cat,"act(p(MGI:""Alad""),ma(cat))",,Alad
256,Activity,,9606.0,,,"act(p(HGNC:""CTNND1""))",,CTNND1
257,Activity,,10090.0,,,"act(p(MGI:""Klra3""))",,Klra3
258,Activity,,9606.0,,cat,"act(p(HGNC:""TRAF6""),ma(cat))",,TRAF6
259,Activity,,10116.0,,cat,"act(p(RGD:""Akr1a1""),ma(cat))",,Akr1a1
260,Activity,,,,,"act(p(FPLX:""HSPA""))",,HSPA
261,Activity,,10116.0,,,"act(p(RGD:""Dock1""))",,Dock1
262,Activity,,9606.0,,cat,"act(p(HGNC:""GLUL""),ma(cat))",,GLUL
263,Activity,,10090.0,,cat,"act(p(MGI:""Nit2""),ma(cat))",,Nit2
264,Activity,,7227.0,,cat,"act(p(FLYBASE:""Alg9""),ma(cat))",,Alg9
265,Activity,,10090.0,,cat,"act(p(MGI:""Pfas""),ma(cat))",,Pfas
266,Activity,,10116.0,,,"act(p(RGD:""Bcl2l2""))",,Bcl2l2
267,Activity,,9606.0,,cat,"act(p(HGNC:""ASS1""),ma(cat))",,ASS1
268,Activity,,10116.0,,,"act(p(RGD:""Aim2""))",,Aim2
269,Activity,,9606.0,,cat,"act(p(HGNC:""GLB1""),ma(cat))",,GLB1
270,Activity,,10090.0,,cat,"act(p(MGI:""Renbp""),ma(cat))",,Renbp
271,Activity,,9606.0,,,"act(p(HGNC:""SLC9A1""))",,SLC9A1
272,Activity,,10116.0,,,"act(p(RGD:""Ccnb1""))",,Ccnb1
273,Activity,,7227.0,,,"act(p(FLYBASE:""mei-41""))",,mei-41
274,Activity,,9606.0,,cat,"act(p(HGNC:""TRAF3IP2""),ma(cat))",,TRAF3IP2
275,Activity,,,,,"act(p(FPLX:""PKA""))",,PKA
276,Activity,,10116.0,,cat,"act(p(RGD:""Naga""),ma(cat))",,Naga
277,Activity,,9606.0,,cat,"act(p(HGNC:""ACP1""),ma(cat))",,ACP1
278,Activity,,10090.0,,cat,"act(p(MGI:""Mogs""),ma(cat))",,Mogs
279,Activity,,9606.0,,,"act(p(HGNC:""FLT3""))",,FLT3
