:ID,:LABEL,namespace:string,species:float,pure:boolean,involved_other:string,bel:string,name:string,involved_genes:string
586,Complex,,10090.0,False,,"complex(p(MGI:""Stat1""),p(MGI:""Stat2""))",,Stat2;Stat1
587,Complex,,10116.0,False,,"complex(p(RGD:""Irak1""),p(RGD:""Irak4""),p(RGD:""Traf6""))",,Traf6;Irak1;Irak4
588,Complex,,9606.0,False,,"complex(p(HGNC:""TREM2""),p(HGNC:""TYROBP"",loc(MESHA:""Intracellular Space"")))",,TYROBP;TREM2
589,Complex,,9606.0,False,,"complex(p(HGNC:""PPID""),p(HGNC:""SLC25A6""))",,PPID;SLC25A6
590,Complex,,9606.0,False,,"complex(p(HGNC:""HSPA5""))",,HSPA5
591,Complex,,,False,,"complex(p(HGNC:""STIP1""),p(INTERPRO:""Heat shock protein 70 family""),p(INTERPRO:""Heat shock protein Hsp90 family""))",,STIP1;Heat shock protein Hsp90 family;Heat shock protein 70 family
592,Complex,,9606.0,False,4-hydroxynonenal,"complex(a(CHEBI:""4-hydroxynonenal""),p(HGNC:""TARDBP""))",,TARDBP
593,Complex,,10116.0,False,,"complex(p(RGD:""Max""),p(RGD:""Myc""))",,Max;Myc
594,Complex,,10090.0,False,,"complex(p(MGI:""Ahr""),p(MGI:""Arnt""))",,Arnt;Ahr
595,Complex,,9606.0,False,,"complex(p(HGNC:""IAPP""),p(HGNC:""RAMP2""))",,RAMP2;IAPP
596,Complex,,9606.0,False,,"complex(p(HGNC:""CD33"",pmod(Ph)),p(HGNC:""PTPN11""))",,PTPN11;CD33
597,Complex,,9606.0,False,Argonaute Proteins,"complex(a(MESH:""Argonaute Proteins""),p(HGNC:""PTGES3""))",,PTGES3
598,Complex,,9606.0,False,,"complex(r(HGNC:""MAPT""),r(HGNC:""MIR219A1""))",,MIR219A1;MAPT
599,Complex,,10116.0,False,,"complex(p(RGD:""Casp1""),p(RGD:""Pycard""))",,Pycard;Casp1
600,Complex,,9606.0,False,sialic acid,"complex(a(CHEBI:""sialic acid"",loc(CHEBI:""ganglioside"")),p(HGNC:""MAG""))",,MAG
601,Complex,,9606.0,False,,"complex(p(HGNC:""APP""),p(HGNC:""HSD17B10""))",,APP;HSD17B10
602,Complex,,9606.0,False,receptor complex,"complex(complex(GO:""receptor complex""),p(HGNC:""CD33""))",,CD33
603,Complex,,,False,,"complex(p(HGNC:""NUDCD3""),p(INTERPRO:""Kelch-type beta propeller""))",,NUDCD3;Kelch-type beta propeller
604,Complex,,9606.0,False,NF-kappaB complex,"complex(complex(GO:""NF-kappaB complex""),p(HGNC:""BNIP3""))",,BNIP3
605,Complex,,9606.0,False,,"complex(p(HGNC:""SMAD4""),composite(p(HGNC:""SMAD2""),p(HGNC:""SMAD3"")),composite(p(HGNC:""WWTR1""),p(HGNC:""YAP1"")))",,SMAD2;YAP1;WWTR1;SMAD4;SMAD3
606,Complex,,10116.0,False,,"complex(p(RGD:""Fadd""),p(RGD:""Tradd""))",,Tradd;Fadd
607,Complex,,9606.0,False,,"complex(p(HGNC:""TNF""),p(HGNC:""TNFRSF1A""))",,TNF;TNFRSF1A
608,Complex,,10090.0,False,,"complex(p(MGI:""Tnf""),p(MGI:""Tnfrsf1b""))",,Tnfrsf1b;Tnf
609,Complex,,9606.0,False,,"complex(p(HGNC:""PCLO""),p(HGNC:""RIMS2""))",,RIMS2;PCLO
610,Complex,,9606.0,False,,"complex(p(HGNC:""BCL2""),p(HGNC:""BCL2L1""))",,BCL2;BCL2L1
611,Complex,,10116.0,False,,"complex(p(RGD:""Atg14""),p(RGD:""Becn1""),p(RGD:""Pik3c3""))",,Becn1;Atg14;Pik3c3
612,Complex,,10090.0,False,,"complex(p(MGI:""Jund""),p(MGI:""Naca""))",,Jund;Naca
613,Complex,,9606.0,False,adenosine,"complex(a(CHEBI:""adenosine""),p(HGNC:""ADORA2A""))",,ADORA2A
614,Complex,,,False,HPV-16;heparan sulfate proteoglycan,"complex(a(CHEBI:""HPV-16""),a(CHEBI:""heparan sulfate proteoglycan""),p(MESHC:""heparin sulfate chain""))",,heparin sulfate chain
615,Complex,,9606.0,False,6913994,"complex(a(PUBCHEM:""6913994""),p(HGNC:""PPP2CB""))",,PPP2CB
616,Complex,,,False,nicotinic receptor alpha3beta2;epibatidine,"complex(a(CHEBI:""epibatidine""),a(MESH:""nicotinic receptor alpha3beta2""))",,
617,Complex,,10090.0,False,,"complex(p(MGI:""Atf1""),composite(p(MGI:""Atf2""),p(MGI:""Atf4""),p(MGI:""Atf6b""),p(MGI:""Creb1""),p(MGI:""Creb3""),p(MGI:""Creb3l1""),p(MGI:""Creb3l2""),p(MGI:""Creb3l3""),p(MGI:""Creb3l4""),p(MGI:""Creb5"")))",,Atf2;Creb1;Atf1;Creb3;Atf6b;Creb3l3;Creb3l4;Creb3l1;Creb3l2;Creb5;Atf4
618,Complex,,9606.0,False,,"complex(p(HGNC:""APP""),p(HGNC:""DAB2""))",,APP;DAB2
619,Complex,,,False,Axons;amyloid-beta aggregates,"complex(a(CONSO:""amyloid-beta aggregates""),a(MESH:""Axons""))",,
620,Complex,,9606.0,False,proteasome complex,"complex(a(GO:""proteasome complex""),p(HGNC:""UBQLN1""))",,UBQLN1
621,Complex,,9606.0,False,,"complex(p(HGNC:""CHRNA7""),p(HGNC:""CHRNA7""),p(HGNC:""CHRNA7""),p(HGNC:""CHRNA7""),p(HGNC:""CHRNA7""))",,CHRNA7
622,Complex,,9606.0,False,,"complex(p(HGNC:""EGFR""),p(HGNC:""ERBB2""))",,ERBB2;EGFR
623,Complex,,9606.0,False,,"complex(p(HGNC:""APP""),p(HGNC:""PSEN1""),p(HGNC:""PSEN2""))",,APP;PSEN2;PSEN1
624,Complex,,9606.0,False,,"complex(p(HGNC:""ARNT""),p(HGNC:""HIF1A""))",,ARNT;HIF1A
625,Complex,,9606.0,False,,"complex(p(HGNC:""FKBP5""),p(HGNC:""HSP90AB1""))",,HSP90AB1;FKBP5
626,Complex,,9606.0,False,,"complex(p(HGNC:""HSPB1""),p(HGNC:""MAPT"",pmod(CONSO:""hyperphosphorylation"")))",,HSPB1;MAPT
627,Complex,,10116.0,False,,"complex(p(RGD:""Ppard""),composite(p(RGD:""Rxra""),p(RGD:""Rxrb""),p(RGD:""Rxrg"")))",,Rxrb;Rxra;Ppard;Rxrg
628,Complex,,10116.0,False,,"complex(p(RGD:""Mcm2""),p(RGD:""Mcm3""),p(RGD:""Mcm4""),p(RGD:""Mcm5""),p(RGD:""Mcm6""),p(RGD:""Mcm7""))",,Mcm7;Mcm3;Mcm4;Mcm5;Mcm6;Mcm2
629,Complex,,9606.0,False,sialic acid,"complex(a(CHEBI:""sialic acid"",loc(PFAM:""Glycoprotein"")),p(HGNC:""SIGLEC14""))",,SIGLEC14
630,Complex,,10116.0,False,arecoline,"complex(a(CHEBI:""arecoline""),p(RGD:""Chrm2""))",,Chrm2
631,Complex,,9606.0,False,,"complex(p(HGNC:""CASP8""),p(HGNC:""MAPT"",frag(""1_421"")))",,CASP8;MAPT
632,Complex,,9606.0,False,,"complex(p(HGNC:""PSMD2""),p(HGNC:""STUB1""))",,PSMD2;STUB1
633,Complex,,,False,Cell Membrane;vesicle,"complex(a(GO:""vesicle""),a(MESH:""Cell Membrane""))",,
634,Complex,,9606.0,False,,"complex(p(HGNC:""CASP10""),p(HGNC:""CASP8""))",,CASP8;CASP10
635,Complex,,9606.0,False,,"complex(g(HGNC:""MIR34B""),r(HGNC:""SNCA""))",,MIR34B;SNCA
636,Complex,,9606.0,False,,"complex(p(HGNC:""CHRNA1"",loc(GO:""endoplasmic reticulum"")),p(HGNC:""CHRNB1"",loc(GO:""endoplasmic reticulum"")),p(HGNC:""CHRND"",loc(GO:""endoplasmic reticulum"")),p(HGNC:""CHRNG"",loc(GO:""endoplasmic reticulum"")))",,CHRNA1;CHRNB1;CHRND;CHRNG
637,Complex,,7227.0,False,,"complex(composite(p(FLYBASE:""CG15800""),p(FLYBASE:""CG43089""),p(FLYBASE:""SkpA""),p(FLYBASE:""SkpB""),p(FLYBASE:""SkpC""),p(FLYBASE:""SkpD""),p(FLYBASE:""SkpE""),p(FLYBASE:""SkpF"")),composite(p(FLYBASE:""Cul1""),p(FLYBASE:""Cul6"")),composite(p(FLYBASE:""Roc1a""),p(FLYBASE:""Roc1b"")))",,CG43089;Roc1b;Roc1a;CG15800;Cul1;SkpF;SkpE;SkpD;SkpC;Cul6;SkpB;SkpA
638,Complex,,9606.0,False,,"complex(p(HGNC:""FZR1""),composite(p(HGNC:""ANAPC1""),p(HGNC:""ANAPC10""),p(HGNC:""ANAPC11""),p(HGNC:""ANAPC13""),p(HGNC:""ANAPC2""),p(HGNC:""ANAPC4""),p(HGNC:""ANAPC5""),p(HGNC:""ANAPC7""),p(HGNC:""CDC16""),p(HGNC:""CDC23""),p(HGNC:""CDC26""),p(HGNC:""CDC27"")))",,ANAPC13;ANAPC7;ANAPC10;ANAPC11;FZR1;CDC23;CDC26;CDC16;CDC27;ANAPC4;ANAPC5;ANAPC1;ANAPC2
639,Complex,,10090.0,False,,"complex(p(MGI:""Blnk""),p(MGI:""Btk""))",,Blnk;Btk
640,Complex,,9606.0,False,,"complex(p(HGNC:""TRAF3""),complex(p(HGNC:""IL17RA""),p(HGNC:""IL17RC"")))",,TRAF3;IL17RC;IL17RA
641,Complex,,9606.0,False,NF-kappaB complex,"complex(a(GO:""NF-kappaB complex"",loc(GO:""nucleus"")),p(HGNC:""NFKB1"",loc(GO:""nucleus"")),p(HGNC:""RELA"",loc(GO:""nucleus"")))",,NFKB1;RELA
642,Complex,,10116.0,False,,"complex(p(RGD:""Ifnar1""),p(RGD:""Ifnar2""))",,Ifnar2;Ifnar1
643,Complex,,,False,,"complex(p(CONSO:""AP-2 complex""),p(HGNCGENEFAMILY:""Clathrin subunits""))",,AP-2 complex;Clathrin subunits
644,Complex,,,False,,"complex(p(GFAM:""G protein subunits beta""),p(RGD:""Chrna7""))",,Chrna7;G protein subunits beta
645,Complex,,9606.0,False,,"complex(p(HGNC:""MAPT""),p(HGNC:""USP9X""))",,USP9X;MAPT
646,Complex,CONSO,,False,alpha-7-containing nAChR,"complex(CONSO:""alpha-7-containing nAChR"")",alpha-7-containing nAChR,
647,Complex,,10116.0,False,,"complex(p(RGD:""Lta""),composite(p(RGD:""LOC103694381""),p(RGD:""Ltb"")))",,LOC103694381;Lta;Ltb
648,Complex,,9606.0,False,,"complex(p(HGNC:""IGF1""),p(HGNC:""INSR""))",,INSR;IGF1
649,Complex,,,False,SCF ubiquitin ligase complex,"complex(complex(GO:""SCF ubiquitin ligase complex""),p(HGNCGENEFAMILY:""Beta catenins"",pmod(Ph)))",,Beta catenins
650,Complex,,9606.0,False,cytoplasmic stress granule,"complex(a(GO:""cytoplasmic stress granule""),p(HGNC:""TARDBP""))",,TARDBP
651,Complex,,9606.0,False,,"complex(p(HGNC:""FADD""),p(HGNC:""FAF1""))",,FAF1;FADD
652,Complex,,10116.0,False,,"complex(p(RGD:""Egfr""),p(RGD:""Erbb3""))",,Erbb3;Egfr
653,Complex,,9606.0,False,,"complex(p(HGNC:""DOK3"",pmod(Ph)),p(HGNC:""TYROBP"",pmod(Ph)))",,DOK3;TYROBP
654,Complex,,9606.0,False,,"complex(p(HGNC:""IRS2"",pmod(Ph,Y)),p(HGNC:""PTPN11""))",,IRS2;PTPN11
655,Complex,,9606.0,False,,"complex(p(HGNC:""MCM8""),p(HGNC:""MCMBP""))",,MCM8;MCMBP
656,Complex,,,False,novobiocin,"complex(a(CHEBI:""novobiocin""),p(INTERPRO:""HSP90, C-terminal domain""))",,"HSP90, C-terminal domain"
657,Complex,,9606.0,False,,"complex(p(HGNC:""CIR1""),p(HGNC:""NCOR2""),p(HGNC:""SAP30""),p(HGNC:""SIN3A""),composite(p(HGNC:""HDAC1""),p(HGNC:""HDAC2"")))",,NCOR2;HDAC2;HDAC1;SIN3A;CIR1;SAP30
658,Complex,GO,,False,ripoptosome,"complex(GO:""ripoptosome"")",ripoptosome,
659,Complex,,9606.0,False,,"complex(p(HGNC:""PDRG1""),p(HGNC:""PFDN2""))",,PFDN2;PDRG1
660,Complex,,9606.0,False,microtubule,"complex(a(GO:""microtubule""),p(HGNC:""MAPT"",frag(""124_441"")))",,MAPT
661,Complex,,,False,,"complex(composite(p(HGNC:""TBC1D7""),p(KEGG:""hsa:107080638"")),composite(p(HGNC:""TSC1""),p(HGNC:""TSC2"")))",,TBC1D7;hsa:107080638;TSC2;TSC1
662,Complex,,9606.0,False,,"complex(p(HGNC:""TICAM1""),p(HGNC:""TLR4""))",,TICAM1;TLR4
663,Complex,,9606.0,False,,"complex(p(HGNC:""PPP2R1A""),p(HGNC:""PPP2R3A""))",,PPP2R1A;PPP2R3A
664,Complex,,,False,amyloid-beta;alpha7 Nicotinic Acetylcholine Receptor,"complex(a(CHEBI:""amyloid-beta""),a(MESH:""alpha7 Nicotinic Acetylcholine Receptor""))",,
665,Complex,,9606.0,False,,"complex(p(HGNC:""BMP7""),p(HGNC:""GDF7""))",,BMP7;GDF7
666,Complex,,10116.0,False,,"complex(p(RGD:""Irf7""),p(RGD:""Irf7""))",,Irf7
667,Complex,,10116.0,False,,"complex(composite(p(RGD:""Esr1""),p(RGD:""Esr2"")),composite(p(RGD:""Ncoa1""),p(RGD:""Ncoa2""),p(RGD:""Ncoa3"")))",,Ncoa2;Ncoa1;Ncoa3;Esr1;Esr2
668,Complex,,9606.0,False,extracellular matrix component,"complex(complex(GOCC:""extracellular matrix component""),p(HGNC:""SDC2""))",,SDC2
669,Complex,,,False,,"complex(p(HGNC:""PPP2CA""),p(INTERPRO:""Protein phosphatase 2A regulatory subunit PR55""))",,PPP2CA;Protein phosphatase 2A regulatory subunit PR55
670,Complex,,,False,amyloid-beta,"complex(a(CHEBI:""amyloid-beta""),p(FPLX:""CHRN""),p(HGNC:""FLNA""))",,FLNA;CHRN
671,Complex,,9606.0,False,,"complex(p(HGNC:""DCAF1""),p(HGNC:""DDB1""),composite(p(HGNC:""CUL4A""),p(HGNC:""CUL4B"")))",,CUL4A;DCAF1;DDB1;CUL4B
672,Complex,,9606.0,False,,"complex(p(HGNC:""MAPT""),p(HGNC:""SRC""))",,SRC;MAPT
673,Complex,,9606.0,False,,"complex(p(HGNC:""APBA1""),p(HGNC:""APP""),p(HGNC:""LRP8""))",,APP;APBA1;LRP8
674,Complex,,,False,amyloid-beta;mitochondrial membrane,"complex(a(CHEBI:""amyloid-beta""),a(GO:""mitochondrial membrane""))",,
675,Complex,,9606.0,False,Proteins;Ubiquitin,"complex(a(MESH:""Proteins""),a(MESH:""Ubiquitin""),p(HGNC:""UBA2""),p(HGNC:""UBA3""))",,UBA3;UBA2
676,Complex,,9606.0,False,,"complex(p(HGNC:""CHRNA3""),p(HGNC:""CHRNA5""),p(HGNC:""CHRNB4""))",,CHRNA3;CHRNB4;CHRNA5
677,Complex,,10090.0,False,,"complex(p(MGI:""Ifnar1""),p(MGI:""Ifnar2""))",,Ifnar2;Ifnar1
678,Complex,,9606.0,False,,"complex(p(HGNC:""EFNB2""),p(HGNC:""EPHB2""))",,EFNB2;EPHB2
679,Complex,,9606.0,False,,"complex(p(HGNC:""APBA2""),p(HGNC:""NFKB1""))",,APBA2;NFKB1
680,Complex,,9606.0,False,,"complex(p(HGNC:""MAPT"",pmod(Ph,S,356)),p(HGNC:""STUB1""))",,STUB1;MAPT
681,Complex,,,False,,"complex(p(HGNC:""RNF41""),p(INTERPRO:""Heat shock protein 70 family""),p(INTERPRO:""Heat shock protein Hsp90 family""))",,Heat shock protein Hsp90 family;RNF41;Heat shock protein 70 family
682,Complex,,9606.0,False,sirolimus,"complex(a(CHEBI:""sirolimus""),p(HGNC:""FKBP1A""))",,FKBP1A
683,Complex,,,False,amyloid-beta;Microglia,"complex(a(CHEBI:""amyloid-beta""),a(MESHA:""Microglia""))",,
684,Complex,,10090.0,False,,"complex(p(MGI:""Tnf""),p(MGI:""Tnfrsf1a""))",,Tnfrsf1a;Tnf
685,Complex,,9606.0,False,nicotine,"complex(a(CHEBI:""nicotine""),p(HGNC:""CHRNB2""))",,CHRNB2
686,Complex,,9606.0,False,,"complex(p(HGNC:""ITGA9""),p(HGNC:""ITGB1""))",,ITGB1;ITGA9
687,Complex,,10090.0,False,,"complex(p(MGI:""Itga5""),p(MGI:""Itgb3""))",,Itgb3;Itga5
688,Complex,,9606.0,False,,"complex(p(HGNC:""SNCA"",var(""?"")),p(HGNC:""SNCA"",var(""?"")))",,SNCA
689,Complex,,,False,,"complex(p(HGNC:""SDC2""),p(SFAM:""PRKC Family""))",,PRKC Family;SDC2
690,Complex,,,False,,"complex(p(HGNC:""MAPT""),p(INTERPRO:""Protein phosphatase 2A regulatory subunit PR55""))",,Protein phosphatase 2A regulatory subunit PR55;MAPT
691,Complex,,9606.0,False,acetylcholine,"complex(a(CHEBI:""acetylcholine""),p(HGNC:""CHRNA7""))",,CHRNA7
692,Complex,,10090.0,False,,"complex(p(MGI:""Myd88""),p(MGI:""Tirap""))",,Myd88;Tirap
693,Complex,,10090.0,False,,"complex(p(MGI:""Abi2""),composite(p(MGI:""Cyfip1""),p(MGI:""Cyfip2"")),composite(p(MGI:""Nckap1""),p(MGI:""Nckap1l"")))",,Nckap1;Abi2;Cyfip2;Cyfip1;Nckap1l
694,Complex,,10090.0,False,,"complex(p(MGI:""Tiam1""),composite(p(MGI:""Vav1""),p(MGI:""Vav2""),p(MGI:""Vav3"")))",,Vav3;Tiam1;Vav1;Vav2
695,Complex,,9606.0,False,,"complex(p(HGNC:""BAG1""),p(HGNC:""MAPT""))",,BAG1;MAPT
696,Complex,,9606.0,False,,"complex(p(HGNC:""APOE""),p(HGNC:""LRP1B""))",,APOE;LRP1B
697,Complex,,9606.0,False,,"complex(p(HGNC:""LRRK2""),p(HGNC:""RHOT1""))",,RHOT1;LRRK2
698,Complex,,9606.0,False,,"complex(p(HGNC:""CHRNA7"",var(""p.345A""),var(""p.346A""),var(""p.347A""),var(""p.348A"")),p(HGNC:""GNAQ""))",,CHRNA7;GNAQ
699,Complex,,9606.0,False,,"complex(p(HGNC:""CDK2""),composite(p(HGNC:""CCNE1""),p(HGNC:""CCNE2"")))",,CCNE2;CCNE1;CDK2
700,Complex,,10090.0,False,,"complex(p(MGI:""Frmd6""),p(MGI:""Nf2""),p(MGI:""Wwc1""))",,Wwc1;Nf2;Frmd6
701,Complex,,9606.0,False,TAT Peptide,"complex(a(MESHC:""TAT Peptide""),p(HGNC:""SDC4""))",,SDC4
702,Complex,,9606.0,False,,"complex(p(HGNC:""IGBP1""),p(HGNC:""PPP2CA""))",,IGBP1;PPP2CA
703,Complex,,9606.0,False,,"complex(p(HGNC:""CHRNA7""),p(HGNC:""GNAQ""))",,CHRNA7;GNAQ
704,Complex,,10090.0,False,,"complex(p(MGI:""Rela""),p(MGI:""Relb""))",,Rela;Relb
705,Complex,,10090.0,False,,"complex(p(MGI:""Dock2""),p(MGI:""Elmo1""))",,Elmo1;Dock2
706,Complex,,9606.0,False,,"complex(p(HGNC:""CLCN7""),p(HGNC:""OSTM1""))",,CLCN7;OSTM1
707,Complex,,9606.0,False,Dihydro-beta-Erythroidine,"complex(a(MESH:""Dihydro-beta-Erythroidine""),p(HGNC:""CHRNB2""))",,CHRNB2
708,Complex,,9606.0,False,protein phosphatase type 2A complex,"complex(a(GO:""protein phosphatase type 2A complex""),p(HGNC:""CDK5""))",,CDK5
709,Complex,,9606.0,False,,"complex(p(HGNC:""ATG101""),p(HGNC:""ATG13""),p(HGNC:""RB1CC1""),p(HGNC:""ULK1""))",,ATG101;RB1CC1;ULK1;ATG13
710,Complex,,9606.0,False,sialic acid,"complex(a(CHEBI:""sialic acid""),p(HGNC:""SIGLEC14""))",,SIGLEC14
711,Complex,,9606.0,False,,"complex(p(HGNC:""CDK5""),p(HGNC:""NOS1""))",,CDK5;NOS1
712,Complex,,9606.0,False,,"complex(p(HGNC:""PDRG1""),p(HGNC:""PFDN5""))",,PFDN5;PDRG1
713,Complex,,,False,microtubule;Dyneins,"complex(a(GO:""microtubule""),a(MESH:""Dyneins""))",,
714,Complex,,9606.0,False,,"complex(composite(p(HGNC:""RRAGA""),p(HGNC:""RRAGB"")),composite(p(HGNC:""RRAGC""),p(HGNC:""RRAGD"")))",,RRAGA;RRAGC;RRAGB;RRAGD
715,Complex,,9606.0,False,Microtubules,"complex(a(MESH:""Microtubules""),p(HGNC:""MAPT""))",,MAPT
716,Complex,,9606.0,False,phosphatidylethanolamine,"complex(a(CHEBI:""phosphatidylethanolamine""),p(HGNC:""MAP1LC3B""))",,MAP1LC3B
717,Complex,,9606.0,False,,"complex(p(HGNC:""MAP3K7""),composite(p(HGNC:""TAB1""),p(HGNC:""TAB2"")))",,TAB2;TAB1;MAP3K7
718,Complex,,10116.0,False,,"complex(p(RGD:""Brca2""),p(RGD:""Palb2""))",,Brca2;Palb2
719,Complex,,10090.0,False,,"complex(p(MGI:""Dcc""),p(MGI:""Dcc""))",,Dcc
720,Complex,,10116.0,False,Microtubules,"complex(a(MESH:""Microtubules""),p(RGD:""Mapt""))",,Mapt
721,Complex,GOCC,,False,mitochondrial permeability transition pore complex,"complex(GOCC:""mitochondrial permeability transition pore complex"")",mitochondrial permeability transition pore complex,
722,Complex,,9606.0,False,,"complex(p(HGNC:""TARDBP"",loc(GO:""cytoplasmic stress granule"")),r(HGNC:""HDAC6"",loc(GO:""cytoplasmic stress granule"")))",,TARDBP;HDAC6
